date,meta,sfd
2021-06-09,Control,2.3668371945081326
2021-06-09,Irrigation,5.849063695278837
2021-06-09,Irrigation Stop,4.036981793637914
2021-06-10,Control,2.911018260299473
2021-06-10,Irrigation,7.960086539902811
2021-06-10,Irrigation Stop,5.071697660292787
2021-06-11,Control,2.7729272246924523
2021-06-11,Irrigation,7.578016392629465
2021-06-11,Irrigation Stop,4.847688522904627
2021-06-12,Control,2.714799920801532
2021-06-12,Irrigation,7.747717641972601
2021-06-12,Irrigation Stop,4.696212804278105
2021-06-13,Control,2.775021259734845
2021-06-13,Irrigation,7.5792752669360235
2021-06-13,Irrigation Stop,4.726584374607738
2021-06-14,Control,2.5777785424707016
2021-06-14,Irrigation,7.739320302259276
2021-06-14,Irrigation Stop,4.690690539203142
2021-06-15,Control,2.5229920363479135
2021-06-15,Irrigation,7.731620057316831
2021-06-15,Irrigation Stop,4.798034329827109
2021-06-16,Control,2.3687891143671016
2021-06-16,Irrigation,8.002876360414612
2021-06-16,Irrigation Stop,4.726366176318399
2021-06-17,Control,2.174286877778461
2021-06-17,Irrigation,8.18190756140812
2021-06-17,Irrigation Stop,4.57436024152623
2021-06-18,Control,2.024062465895467
2021-06-18,Irrigation,6.867975146449669
2021-06-18,Irrigation Stop,4.172237078209495
2021-06-19,Control,1.9175363596689203
2021-06-19,Irrigation,7.678508953226639
2021-06-19,Irrigation Stop,4.1586198248378725
2021-06-20,Control,1.5694156349380832
2021-06-20,Irrigation,6.1375741357033125
2021-06-20,Irrigation Stop,3.4129963692803034
2021-06-21,Control,1.6178926614048346
2021-06-21,Irrigation,7.178968613176911
2021-06-21,Irrigation Stop,4.104989938842033
2021-06-22,Control,1.2349968912392029
2021-06-22,Irrigation,4.036930718042123
2021-06-22,Irrigation Stop,3.770138900746724
2021-06-23,Control,1.882962095752799
2021-06-23,Irrigation,5.556604787781988
2021-06-23,Irrigation Stop,6.21625241578597
2021-06-24,Control,1.7193855565596832
2021-06-24,Irrigation,4.3616205636527425
2021-06-24,Irrigation Stop,3.448971165722656
2021-06-25,Control,2.035610382072939
2021-06-25,Irrigation,7.232717750639751
2021-06-25,Irrigation Stop,5.319856054578815
2021-06-26,Control,2.314201611213684
2021-06-26,Irrigation,8.059855487506494
2021-06-26,Irrigation Stop,6.051293817624349
2021-06-27,Control,2.1373920991048556
2021-06-27,Irrigation,7.74731239444807
2021-06-27,Irrigation Stop,5.42667797343659
2021-06-28,Control,1.9255270500738115
2021-06-28,Irrigation,6.791016052418145
2021-06-28,Irrigation Stop,4.194845422784558
2021-06-29,Control,1.1478870120848987
2021-06-29,Irrigation,4.553452165930023
2021-06-29,Irrigation Stop,2.457983766891892
2021-06-30,Control,1.7279387128303534
2021-06-30,Irrigation,6.382206413165107
2021-06-30,Irrigation Stop,3.641487304527674
2021-07-01,Control,1.3473533912026667
2021-07-01,Irrigation,5.564136951110521
2021-07-01,Irrigation Stop,2.5354990636247052
2021-07-02,Control,2.1016543175044347
2021-07-02,Irrigation,8.217104212409474
2021-07-02,Irrigation Stop,4.78577362391958
2021-07-03,Control,0.9997760204667996
2021-07-03,Irrigation,4.08019916894961
2021-07-03,Irrigation Stop,2.0412150840567067
2021-07-04,Control,1.0136802014317592
2021-07-04,Irrigation,4.2757142142251405
2021-07-04,Irrigation Stop,1.7925802615968707
2021-07-05,Control,1.4886904250854378
2021-07-05,Irrigation,7.248101523642006
2021-07-05,Irrigation Stop,3.343730857773688
2021-07-06,Control,1.5324354128404
2021-07-06,Irrigation,6.566723381708148
2021-07-06,Irrigation Stop,3.4930027828735257
2021-07-07,Control,1.2259160210989084
2021-07-07,Irrigation,3.175825530916838
2021-07-07,Irrigation Stop,2.064878696187391
2021-07-08,Control,1.3461580607237287
2021-07-08,Irrigation,1.32756768575745
2021-07-08,Irrigation Stop,0.9766527903588653
