date,Tr,scen
2011-11-08,0.26268486390201345,Control
2011-11-09,0.08817737770129211,Control
2011-11-10,0.08027131403076929,Control
2011-11-11,0.07986147431193502,Control
2011-11-12,0.15237757044398226,Control
2011-11-13,0.0677754585660947,Control
2011-11-14,0.0668731158469507,Control
2011-11-15,0.04537635014176164,Control
2011-11-16,0.040527907775547274,Control
2011-11-17,9.12598501327068e-4,Control
2011-11-18,0.0032371417368310595,Control
2011-11-19,0.004875903878821985,Control
2011-11-20,0.004886568074058222,Control
2011-11-21,0.004867134162682172,Control
2011-11-22,0.004847624889324048,Control
2011-11-23,0.004828039948541221,Control
2011-11-24,0.004808378948918809,Control
2011-11-25,0.004788641498007467,Control
2011-11-26,0.004768827221345628,Control
2011-11-27,0.0047489356944750575,Control
2011-11-28,0.004728966501153711,Control
2011-11-29,0.004708919384097406,Control
2011-11-30,0.004688793772534326,Control
2011-12-01,0.00466858931389785,Control
2011-12-02,0.004648305696307857,Control
2011-12-03,0.004627942399450612,Control
2011-12-04,0.004607499119491004,Control
2011-12-05,0.004586975357377661,Control
2011-12-06,0.00456637082272352,Control
2011-12-07,0.004545684932171999,Control
2011-12-08,0.004524917419299917,Control
2011-12-09,0.004504067890854159,Control
2011-12-10,0.0044831357435926086,Control
2011-12-11,0.004462120787181087,Control
2011-12-12,0.004441022577275813,Control
2011-12-13,0.0044198405505769265,Control
2011-12-14,0.004398574280095852,Control
2011-12-15,0.004377223512053681,Control
2011-12-16,0.0043557877756719545,Control
2011-12-17,0.0043342666173562345,Control
2011-12-18,0.00431265949150421,Control
2011-12-19,0.004290966378862927,Control
2011-12-20,0.004269186324546464,Control
2011-12-21,0.004247319178676431,Control
2011-12-22,0.004225364630407172,Control
2011-12-23,0.004203321970527122,Control
2011-12-24,0.004181190957440253,Control
2011-12-25,0.004158971123240798,Control
2011-12-26,0.0041366620486428364,Control
2011-12-27,0.004114263321140307,Control
2011-12-28,0.004091774415016444,Control
2011-12-29,0.004069194997701821,Control
2011-12-30,0.004046524611694842,Control
2011-12-31,0.004023762758115306,Control
2012-01-01,0.004000909111865749,Control
2012-01-02,0.003977963189582946,Control
2012-01-03,0.003954924548188287,Control
2012-01-04,0.003931792749142902,Control
2012-01-05,0.003908567408675045,Control
2012-01-06,0.0038852481072680967,Control
2012-01-07,0.0038618343495471353,Control
2012-01-08,0.0038383257856470566,Control
2012-01-09,0.0038147217972701714,Control
2012-01-10,0.0037910223324625226,Control
2012-01-11,0.003767226521908557,Control
2012-01-12,0.003743334215901065,Control
2012-01-13,0.003719344927400374,Control
2012-01-14,0.003695258156893696,Control
2012-01-15,0.0036710736951957802,Control
2012-01-16,0.003646790885391376,Control
2012-01-17,0.0036224094734708767,Control
2012-01-18,0.003597928908086591,Control
2012-01-19,0.0035733490407964838,Control
2012-01-20,0.0035486690723383956,Control
2012-01-21,0.0035238888358806206,Control
2012-01-22,0.0034990079077686803,Control
2012-01-23,0.0034740258492925277,Control
2012-01-24,0.0034489423545481265,Control
2012-01-25,0.0034237569267837335,Control
2012-01-26,0.0033984691851002943,Control
2012-01-27,0.0033730787827361,Control
2012-01-28,0.003347585331379668,Control
2012-01-29,0.003321988439616112,Control
2012-01-30,0.003296287770395792,Control
2012-01-31,0.0032704829541987724,Control
2012-02-01,0.003244573589325042,Control
2012-02-02,0.003218559440556548,Control
2012-02-03,0.0031924400522299196,Control
2012-02-04,0.003166214994543416,Control
2012-02-05,0.003139884170949427,Control
2012-02-06,0.003113447045617241,Control
2012-02-07,0.0030869035135523523,Control
2012-02-08,0.0030602530916222395,Control
2012-02-09,0.0030334956068479306,Control
2012-02-10,0.0030066307033882376,Control
2012-02-11,0.002979658099593227,Control
2012-02-12,0.0029525775846701257,Control
2012-02-13,0.0029253888592119205,Control
2012-02-14,0.0028980917644914434,Control
2012-02-15,0.0028706860048376593,Control
2012-02-16,0.002843171304807428,Control
2012-02-17,0.002815547635264548,Control
2012-02-18,0.0027878146447363954,Control
2012-02-19,0.002759972278053967,Control
2012-02-20,0.0027320203102322044,Control
2012-02-21,0.0027039587071932885,Control
2012-02-22,0.0026757872780299855,Control
2012-02-23,0.0026475059072914877,Control
2012-02-24,0.0026191146146326313,Control
2012-02-25,0.0025906132881078846,Control
2012-02-26,0.0025620018649646337,Control
2012-02-27,0.0025332804489917433,Control
2012-02-28,0.0025044489016378163,Control
2012-02-29,0.002475507508288768,Control
2012-03-01,0.0024464561447045357,Control
2012-03-02,0.002417295014898046,Control
2012-03-03,0.002388024247716027,Control
2012-03-04,0.10142048433738733,Control
2012-03-05,0.04362982825930609,Control
2012-03-06,0,Control
2012-03-07,0,Control
2012-03-08,0.08930989748870505,Control
2012-03-09,0.25902345828385637,Control
2012-03-10,0.5134908580009868,Control
2012-03-11,0.37774075882091507,Control
2012-03-12,0.7933827351816738,Control
2012-03-13,0.9258134568354787,Control
2012-03-14,1.0255131879840562,Control
2012-03-15,1.0840166836701755,Control
2012-03-16,0.8077181730579329,Control
2012-03-17,0.745449871220201,Control
2012-03-18,0.15719111721094978,Control
2012-03-19,0.8015895833063049,Control
2012-03-20,1.145701194647582,Control
2012-03-21,1.2815455357417935,Control
2012-03-22,1.2437431122686256,Control
2012-03-23,1.2843015960741893,Control
2012-03-24,1.0414281114983401,Control
2012-03-25,0.056190518110767786,Control
2012-03-26,0.03866635873526697,Control
2012-03-27,0.013445648566994251,Control
2012-03-28,0.004594854789336471,Control
2012-03-29,0.004450754718748929,Control
2012-03-30,0.004373497779335093,Control
2012-03-31,0.004295121706196481,Control
2012-04-01,0.004215606388352054,Control
2012-04-02,0.004134931465641131,Control
2012-04-03,0.004053076883055436,Control
2012-04-04,0.003970022194462039,Control
2012-04-05,0.0038857469419470107,Control
2012-04-06,0.003800230852929452,Control
2012-04-07,0.003713453506907355,Control
2012-04-08,0.0036253950856980216,Control
2012-04-09,0.0035360357878413697,Control
2012-04-10,0.0034453560770353335,Control
2012-04-11,0.00335333737427506,Control
2012-04-12,0.003259961352898248,Control
2012-04-13,0.00316521100242486,Control
2012-04-14,0.003069069704079972,Control
2012-04-15,0.0029715228592506453,Control
2012-04-16,0.0028725570839648468,Control
2012-04-17,0.0027721608582752244,Control
2012-04-18,0.0026703252117375024,Control
2012-04-19,0.0025670437594977023,Control
2012-04-20,0.0024623134823608768,Control
2012-04-21,0.09239897057575439,Control
2012-04-22,0.5710712140496352,Control
2012-04-23,0.13602733270900366,Control
2012-04-24,0,Control
2012-04-25,1.0191381565212447,Control
2012-04-26,1.2801384672543625,Control
2012-04-27,1.5261857947224018,Control
2012-04-28,1.0479835036112342,Control
2012-04-29,1.2603403615925874,Control
2012-04-30,0.9764773564233178,Control
2012-05-01,0.9396214217507665,Control
2012-05-02,1.7756781890292048,Control
2012-05-03,1.8374858258748585,Control
2012-05-04,1.025203327273144,Control
2012-05-05,1.389293284352302,Control
2012-05-06,1.8248715015087869,Control
2012-05-07,1.333746447067345,Control
2012-05-08,1.4735410970796272,Control
2012-05-09,2.218664615840831,Control
2012-05-10,2.28051854101168,Control
2012-05-11,0.052084104310587465,Control
2012-05-12,1.5792533525293473,Control
2012-05-13,2.011243167922491,Control
2012-05-14,1.7552729646117406,Control
2012-05-15,0.9860249918661963,Control
2012-05-16,1.7173275702568833,Control
2012-05-17,1.63309151044691,Control
2012-05-18,1.6315262198317844,Control
2012-05-19,1.5078474830277282,Control
2012-05-20,1.4006271267217003,Control
2012-05-21,1.0849563047983186,Control
2012-05-22,1.735867583469301,Control
2012-05-23,2.107420838093676,Control
2012-05-24,2.065308336570818,Control
2012-05-25,2.0592763354522803,Control
2012-05-26,1.3425456475347852,Control
2012-05-27,2.1164884796119336,Control
2012-05-28,2.315956714608679,Control
2012-05-29,2.2048102382220245,Control
2012-05-30,1.7917229726340065,Control
2012-05-31,1.9734322712028187,Control
2012-06-01,1.982122075785476,Control
2012-06-02,0.6044125304994488,Control
2012-06-03,1.701938027536363,Control
2012-06-04,2.060924250578027,Control
2012-06-05,0.05757432616044083,Control
2012-06-06,1.8717367523136765,Control
2012-06-07,0.361941465173834,Control
2012-06-08,1.991376675922492,Control
2012-06-09,1.6569281274714567,Control
2012-06-10,1.2866430872551895,Control
2012-06-11,1.0745330554734045,Control
2012-06-12,1.9870034392471314,Control
2012-06-13,2.3120751388669056,Control
2012-06-14,2.4571316411335897,Control
2012-06-15,2.2845351796487576,Control
2012-06-16,2.0953083168243234,Control
2012-06-17,2.027358854021357,Control
2012-06-18,1.3790166550819272,Control
2012-06-19,1.170819862846331,Control
2012-06-20,1.912788116771901,Control
2012-06-21,1.7714346634897271,Control
2012-06-22,2.203230757081661,Control
2012-06-23,2.1039867122757316,Control
2012-06-24,1.4121098904735727,Control
2012-06-25,1.4108273058561625,Control
2012-06-26,2.1860451782622636,Control
2012-06-27,2.1395920941021833,Control
2012-06-28,2.111594460751178,Control
2012-06-29,1.8872536987389763,Control
2012-06-30,0.7282099119519011,Control
2012-07-01,0.2503264662437771,Control
2012-07-02,2.115813470246332,Control
2012-07-03,1.6955412539964394,Control
2012-07-04,2.015937991190831,Control
2012-07-05,1.4298198924328054,Control
2012-07-06,2.3658466564394014,Control
2012-07-07,2.0634831228480617,Control
2012-07-08,2.3735425499444807,Control
2012-07-09,1.9216263637228146,Control
2012-07-10,2.27051041850686,Control
2012-07-11,2.0996317169594367,Control
2012-07-12,1.4183862956541105,Control
2012-07-13,1.8272118501803463,Control
2012-07-14,2.151412813889821,Control
2012-07-15,2.4917333133875843,Control
2012-07-16,2.4000745590441506,Control
2012-07-17,2.6526382292135477,Control
2012-07-18,2.174953282825365,Control
2012-07-19,1.6721785778320026,Control
2012-07-20,1.8309869543637367,Control
2012-07-21,2.166002926204284,Control
2012-07-22,2.1176526065790138,Control
2012-07-23,1.9408913739575315,Control
2012-07-24,2.11033857302,Control
2012-07-25,2.091625694250044,Control
2012-07-26,1.9723821922355835,Control
2012-07-27,0.5435937551777121,Control
2012-07-28,1.8270043870849157,Control
2012-07-29,2.159621188609515,Control
2012-07-30,2.4885561347065654,Control
2012-07-31,2.4312133298959724,Control
2012-08-01,1.9647635910634678,Control
2012-08-02,2.3416027135840274,Control
2012-08-03,2.2779992060112946,Control
2012-08-04,1.1951757876902975,Control
2012-08-05,0.5666586059211055,Control
2012-08-06,2.424203719264863,Control
2012-08-07,2.4874846039166814,Control
2012-08-08,2.3848017545930964,Control
2012-08-09,2.293102556918088,Control
2012-08-10,2.350062335005618,Control
2012-08-11,2.141942188991571,Control
2012-08-12,2.1183657217140803,Control
