DateTime,Symbol,Amount
2006-06-26T00:00:00.0000000+02:00,O18,-14.4
2006-06-26T00:00:00.0000000+02:00,H2,-105.47
2006-07-24T00:00:00.0000000+02:00,O18,-14.34
2006-07-24T00:00:00.0000000+02:00,H2,-105.25
2006-08-21T00:00:00.0000000+02:00,O18,-13.6
2006-08-21T00:00:00.0000000+02:00,H2,-99.77
2006-09-18T00:00:00.0000000+02:00,O18,-14.02
2006-09-18T00:00:00.0000000+02:00,H2,-102.42
2006-10-16T00:00:00.0000000+02:00,O18,-13.66
2006-10-16T00:00:00.0000000+02:00,H2,-99.63
2006-11-13T00:00:00.0000000+01:00,O18,-13.8
2006-11-13T00:00:00.0000000+01:00,H2,-101.34
2006-12-11T00:00:00.0000000+01:00,O18,-13.89
2006-12-11T00:00:00.0000000+01:00,H2,-100.89
2007-01-08T00:00:00.0000000+01:00,O18,-12.91
2007-01-08T00:00:00.0000000+01:00,H2,-93.85
2007-02-05T00:00:00.0000000+01:00,O18,-13.69
2007-02-05T00:00:00.0000000+01:00,H2,-100.06
2007-03-05T00:00:00.0000000+01:00,O18,-13.49
2007-03-05T00:00:00.0000000+01:00,H2,-98.76
2007-04-02T00:00:00.0000000+02:00,O18,-13.67
2007-04-02T00:00:00.0000000+02:00,H2,-99.74
2007-04-30T00:00:00.0000000+02:00,O18,-13.95
2007-04-30T00:00:00.0000000+02:00,H2,-102.27
2007-05-28T00:00:00.0000000+02:00,O18,-13.68
2007-05-28T00:00:00.0000000+02:00,H2,-101.62
2007-06-25T00:00:00.0000000+02:00,O18,-13.37
2007-06-25T00:00:00.0000000+02:00,H2,-98.65
2007-07-23T00:00:00.0000000+02:00,O18,-13.23
2007-07-23T00:00:00.0000000+02:00,H2,-97.25
2007-08-20T00:00:00.0000000+02:00,O18,-13.33
2007-08-20T00:00:00.0000000+02:00,H2,-96.74
2007-09-17T00:00:00.0000000+02:00,O18,-13.68
2007-09-17T00:00:00.0000000+02:00,H2,-100.22
2007-10-15T00:00:00.0000000+02:00,O18,-13.62
2007-10-15T00:00:00.0000000+02:00,H2,-99.87
2007-11-12T00:00:00.0000000+01:00,O18,-13.93
2007-11-12T00:00:00.0000000+01:00,H2,-100.62
2007-12-10T00:00:00.0000000+01:00,O18,-13.55
2007-12-10T00:00:00.0000000+01:00,H2,-98.6
2008-01-07T00:00:00.0000000+01:00,O18,-13.45
2008-01-07T00:00:00.0000000+01:00,H2,-98.53
2008-02-04T00:00:00.0000000+01:00,O18,-13.57
2008-02-04T00:00:00.0000000+01:00,H2,-100.28
2008-03-03T00:00:00.0000000+01:00,O18,-12.77
2008-03-03T00:00:00.0000000+01:00,H2,-93.84
2008-03-31T00:00:00.0000000+02:00,O18,-13.28
2008-03-31T00:00:00.0000000+02:00,H2,-97.61
2008-04-28T00:00:00.0000000+02:00,O18,-13.2
2008-04-28T00:00:00.0000000+02:00,H2,-96.57
2008-06-09T00:00:00.0000000+02:00,O18,-13.43
2008-06-09T00:00:00.0000000+02:00,H2,-98.76
2008-06-23T00:00:00.0000000+02:00,O18,-14.04
2008-06-23T00:00:00.0000000+02:00,H2,-102.6
2008-07-21T00:00:00.0000000+02:00,O18,-13.66
2008-07-21T00:00:00.0000000+02:00,H2,-100.09
2008-08-18T00:00:00.0000000+02:00,O18,-13.22
2008-08-18T00:00:00.0000000+02:00,H2,-97.32
2008-09-15T00:00:00.0000000+02:00,O18,-13.28
2008-09-15T00:00:00.0000000+02:00,H2,-96.47
2008-10-13T00:00:00.0000000+02:00,O18,-13.48
2008-10-13T00:00:00.0000000+02:00,H2,-98.26
2008-11-10T00:00:00.0000000+01:00,O18,-13.36
2008-11-10T00:00:00.0000000+01:00,H2,-98.4
2008-12-08T00:00:00.0000000+01:00,O18,-13.31
2008-12-08T00:00:00.0000000+01:00,H2,-98.18
2009-01-20T00:00:00.0000000+01:00,H2,-97.23719515
2009-01-20T00:00:00.0000000+01:00,O18,-13.24074835
