date,Tr,Tr_rm,scen
2015-04-13,0.6777416946553663,0.6077280739290859,Control
2015-04-14,0.7774871123743172,0.6179962213897153,Control
2015-04-15,0.4458675894453006,0.6169180776998887,Control
2015-04-16,0.14561938532523247,0.6143539296240096,Control
2015-04-17,0.5107299521880484,0.5934149275811901,Control
2015-04-18,0.6682070292403771,0.5821582858060965,Control
2015-04-19,0.6711206630383754,0.5745987490530499,Control
2015-04-20,0.7156996004607633,0.5570269129975194,Control
2015-04-21,0.7036963284993158,0.5414323697442874,Control
2015-04-22,0.6724123667374309,0.5430621924275113,Control
2015-04-23,0.6737642959581204,0.5326608077614232,Control
2015-04-24,0.196592711609045,0.5250322136605298,Control
2015-04-25,0.5595432207008167,0.4805276287125045,Control
2015-04-26,0.6259005365101891,0.44171522054960743,Control
2015-04-27,0.431735989877939,0.42041419132474617,Control
2015-04-28,0.5591635068290692,0.4172349117868651,Control
2015-04-29,0.46868510701043453,0.4251538680343963,Control
2015-04-30,0,0.424619904902002,Control
2015-05-01,0.4039296347755401,0.4728478395823802,Control
2015-05-02,0.04514283996802314,0.5020042241063832,Control
2015-05-03,0.12774694875781686,0.5287721729990846,Control
2015-05-04,0.41748519131270495,0.56813530059666,Control
2015-05-05,0.6591864149689812,0.5916938940308986,Control
2015-05-06,0.7832777542028678,0.6055909014001838,Control
2015-05-07,0.6662888121046006,0.6090848391741284,Control
2015-05-08,0.8717837971343394,0.6305279694614752,Control
2015-05-09,0.9677326040368596,0.6908657102710472,Control
2015-05-10,1.0006518210080084,0.7482528654233127,Control
2015-05-11,0.9828197762439937,0.737432053913165,Control
2015-05-12,0.8889838149084087,0.7266084659848042,Control
2015-05-13,0.6632432101804273,0.733634496655268,Control
2015-05-14,0.048915128835225474,0.7427114113496724,Control
2015-05-15,0.7041334587983951,0.7400109424327714,Control
2015-05-16,0.8898712113020315,0.7330142392635014,Control
2015-05-17,0.9311671208895341,0.7006044258912574,Control
2015-05-18,0.265993830170638,0.6771489303112067,Control
2015-05-19,0.5076561839719286,0.6762481740772298,Control
2015-05-20,0.8816421835893619,0.6963099817697948,Control
2015-05-21,0.7933656178262629,0.7613259590670454,Control
2015-05-22,0.833977232297724,0.7704647583291909,Control
2015-05-23,0.8697787596670804,0.7697084775103885,Control
2015-05-24,0.5469144337965901,0.7597941803359963,Control
2015-05-25,0.6544428381232867,0.7988767974893219,Control
2015-05-26,0.876373227632731,0.8249405688916395,Control
2015-05-27,0.9441085178763365,0.8216052033973199,Control
2015-05-28,0.9591388109967333,0.823239944665579,Control
2015-05-29,0.8320766484684337,0.8211887616561483,Control
2015-05-30,0.8792832798387978,0.807260585013376,Control
2015-05-31,0.7923669604480436,0.8050293545792443,Control
2015-06-01,0.8131504703171976,0.8053511296649555,Control
2015-06-02,0.8725489836043742,0.7821082813153529,Control
2015-06-03,0.8349470666688871,0.7721595629356539,Control
2015-06-04,0.8162519955818905,0.7582309511878007,Control
2015-06-05,0.8052606701656936,0.7574822589979299,Control
2015-06-06,0.6747842866682695,0.730007314821049,Control
2015-06-07,0.5156772077187443,0.725025829296884,Control
2015-06-08,0.6589476893232449,0.7084799300685776,Control
2015-06-09,0.5509733507382931,0.7062860598007734,Control
2015-06-10,0.8048264605605513,0.6862457776525385,Control
2015-06-11,0.7641382465267892,0.6794009840246646,Control
2015-06-12,0.8215949578102402,0.666264197705332,Control
2015-06-13,0.4946340613624664,0.6743687713973595,Control
2015-06-14,0.7226261631097334,0.696223022653897,Control
2015-06-15,0.5815078811209087,0.6938815211875115,Control
2015-06-16,0.8418347998551144,0.7188865118447648,Control
2015-06-17,0.5543831165935991,0.7261165299691392,Control
2015-06-18,0.7204248847916568,0.7330134489649545,Control
2015-06-19,0.6213456616950368,0.7340585836419246,Control
2015-06-20,0.7882483183566543,0.7620627124948217,Control
2015-06-21,0.8216367253102688,0.7728562396448665,Control
2015-06-22,0.6261666687938484,0.7944212938625983,Control
2015-06-23,0.9010432199398395,0.7972136532899604,Control
2015-06-24,0.9060467143017935,0.8164792968934993,Control
2015-06-25,0.860695112468202,0.8225834870697292,Control
2015-06-26,0.836226843287823,0.8388455305437983,Control
2015-06-27,0.8866918653030252,0.8380850076696206,Control
2015-06-28,0.8737355432103605,0.8323157959137155,Control
2015-06-29,0.8834186401691534,0.8427787712610774,Control
2015-06-30,0.8809278318381847,0.8232258330205838,Control
2015-07-01,0.8241021270431426,0.8140137373101034,Control
2015-07-02,0.8058835472588761,0.8125473746052954,Control
2015-07-03,0.8490142703320036,0.8134634427418123,Control
2015-07-04,0.7776009981181661,0.8039581074802447,Control
2015-07-05,0.7408677607275986,0.7922466563892762,Control
2015-07-06,0.7726483236569153,0.7818471425074416,Control
2015-07-07,0.6273020845729292,0.7734329355615823,Control
2015-07-08,0.7770773743550657,0.7700709900959536,Control
2015-07-09,0.8401660346008912,0.7497729267992701,Control
2015-07-10,0.8490517971990594,0.7218990020331393,Control
2015-07-11,0.7536171716410788,0.712378832666109,Control
2015-07-12,0.7097752279368018,0.7171165098360897,Control
2015-07-13,0.7378254458234685,0.7235048170148165,Control
2015-07-14,0.7631289345961546,0.7144962053634282,Control
2015-07-15,0.7770348905243416,0.711187777806348,Control
2015-07-16,0.521710661105306,0.6998582681957688,Control
2015-07-17,0.45877932360617335,0.6887425593778819,Control
2015-07-18,0.644318626979743,0.6727455663997667,Control
2015-07-19,0.807195241107326,0.6784810069975196,Control
2015-07-20,0.8620846241590914,0.6929627421078118,Control
2015-07-21,0.5011815214534939,0.669284489876232,Control
2015-07-22,0.7307593885559418,0.6814040544778199,Control
2015-07-23,0.6815529000527829,0.7090254848480161,Control
2015-07-24,0.6934318737486421,0.6820192003915783,Control
2015-07-25,0.52965926994746515,0.7007363623196128,Control
2015-07-26,0.7900713963053428,0.7230342392705434,Control
2015-07-27,0.9405697373675607,0.7228888887042897,Control
2015-07-28,0.4316334033540366,0.7610207011127524,Control
2015-07-29,0.9467087949465726,0.7807804163531602,Control
2015-07-30,0.908410686288053,0.8029005212453769,Control
2015-07-31,0.08069134121604417,0.8059551043009374,Control
2015-08-01,0.9063588939722255,0.7850588094565782,Control
2015-08-02,1.1193655184203564,0.7813683290014124,Control
2015-08-03,0.8600497162315371,0.7809073263761915,Control
2015-08-04,1.0350268951719734,0.829471378592982,Control
2015-08-05,1.0073954019216504,0.8328728604444849,Control
2015-08-06,0.9912343685438171,0.7708945096425734,Control
2015-08-07,0.7361960365264882,0.7709286432298958,Control
2015-08-08,0.23711114212643744,0.7464350456071659,Control
2015-08-09,0.7384046699330216,0.7272649343012121,Control
2015-08-10,0.9341157006144677,0.7161029179170777,Control
2015-08-11,1.1115301343891049,0.69019612167756,Control
2015-08-12,0.9943295408676125,0.676300248503885,Control
2015-08-13,0.04071377506129116,0.678316225475572,Control
2015-08-14,0.08116921143855946,0.6966675539402504,Control
2015-08-15,0.563448527254004,0.7150942385393034,Control
2015-08-16,0.8509839601370034,0.6924894022988511,Control
2015-08-17,0.7037814868536566,0.6854474814213424,Control
2015-08-18,0.6723317478187258,0.6753737337952516,Control
2015-08-19,0.8128531774901998,0.6765749676253127,Control
2015-08-20,1.0194580461474347,0.739286771973544,Control
2015-08-21,0.9931146350319857,0.797029429353625,Control
2015-08-22,0.49508472651318053,0.8145266735986386,Control
2015-08-23,0.42193696256669017,0.8066930119497933,Control
2015-08-24,0.835528808329344,0.7564229057459607,Control
2015-08-25,0.9704976676238338,0.7083992094731946,Control
2015-08-26,1.0111468144884674,0.6503382682238945,Control
2015-08-27,0.9186790359365317,0.5775198363562206,Control
2015-08-28,0.8895664147596917,0.5065830767110788,Control
2015-08-29,0.8084099466841939,0.4894137847963521,Control
2015-08-30,0.7413126970531706,0.4733542716548005,Control
2015-08-31,0,0.4155896492567687,Control
2015-09-01,0,0.3474581597251037,Control
2015-09-02,0,0.2761133649375436,Control
2015-09-03,0,0.21054326145137378,Control
2015-09-04,0,0.17034928142029887,Control
2015-09-05,0.25471463970700625,0.12588135879782072,Control
2015-09-06,0.19710377858496775,0.0729304518654514,Control
2015-09-07,0.02682409475689966,0.0729304518654514,Control
2015-09-08,0.016656814180522776,0.0729304518654514,Control
2015-09-09,0.012319687462626667,0.0729304518654514,Control
2015-09-10,6.975871301535716e-4,0.08379557665017275,Control
2015-09-11,0.3268506943246428,0.09452253425097167,Control
2015-09-12,0.18585902996949985,0.08562869714978313,Control
2015-09-13,0,0.07195437433674476,Control
2015-09-16,0,0.08581902007744237,Control
2015-09-17,0,0.0980700412468714,Control
2015-09-18,0,0.10870348958912722,Control
2015-09-19,0.1521117469860989,0.11894527605958014,Control
2015-09-20,0.15017740641118504,0.10228284304276443,Control
2015-09-21,0.1302009202903667,0.09630444641322426,Control
2015-09-22,0.005663259202430561,0.10629821437625606,Control
2015-09-23,0.22092913512666612,0.11576866982438026,Control
2015-09-24,0.18817111055252925,0.12690378549475945,Control
2015-09-25,0.16118796425420812,0.13301441084827156,Control
2015-09-26,0.1440825977164945,0.13474704503316942,Control
2015-09-27,0.09357663208922282,0.13609321409214728,Control
2015-09-28,0.10216147715593756,0.12679321700463575,Control
2015-09-29,0.13991275148244497,0.12638869849017642,Control
2015-09-30,0.13258637627373912,0.11060804598112885,Control
