date,site,treatment,depth,descr,ECS,SWP,TEM,VWC,SWP_corr
2023-12-21,PFY_SC15,irrigation_vpd,-1.2,NA,48.416041666666665,-0.1,6.75,0.29617228472222223,-0.1
2023-12-21,PFY_SC15,irrigation_vpd,-0.8,NA,49.598645833333336,-0.1336759236111111,6.199999999999999,0.3210595694444444,-0.1336759236111111
2023-12-21,PFY_SC15,irrigation_vpd,-0.1,NA,5.738842590277778,-0.11541666666666667,4.415085631944445,0.2245087013888889,-0.11541666666666667
2023-12-21,PFY_SC16,roof_vpd,-1.2,below panel edge,30.606145694444443,-0.2,6.852155670138888,0.28205319444444443,-0.2
2023-12-21,PFY_SC16,roof_vpd,-0.8,below panel edge,35.564618055555556,-0.7555879444444444,5.9,0.31657029861111113,-0.7555876132429205
2023-12-21,PFY_SC16,roof_vpd,-0.1,below panel edge,22.183310277777778,-0.1,4.493907399305556,0.24149316666666668,-0.1
2023-12-21,PFY_SC17,roof,-1.2,below panel edge to center,26.472256944444446,-0.4433565,7.391008673611111,0.2640411736111111,-0.4433564740962575
2023-12-21,PFY_SC17,roof,-0.8,below panel edge to center,39.066006944444446,-0.18540740277777779,6.506002881944444,0.3170595347222222,-0.1854074027777692
2023-12-21,PFY_SC17,roof,-0.1,below panel edge to center,18.753426041666668,-1.9876388472222222,4.778663184027778,0.2152710138888889,-1.987386492525329
2023-12-21,PFY_SC18,control,-1.2,NA,48.225115833333334,-0.8648148194444444,6.859133100694444,0.29414164583333335,-0.8648065429235344
2023-12-21,PFY_SC18,control,-0.8,NA,32.33125,-6.0331155277777775,6.05,0.27284851388888887,-6.024903425451793
2023-12-21,PFY_SC18,control,-0.1,NA,6.828101805555556,-4.036310027777778,4.721475680555556,0.20047742361111112,-4.034411636539985
2023-12-21,PFY_SC3,irrigation,-1.2,NA,57.05135409722222,-0.1,6.898475114583333,0.2987440486111111,-0.1
2023-12-21,PFY_SC3,irrigation,-0.8,NA,79.17149305555556,-0.1,6.35,0.3513409513888889,-0.1
2023-12-21,PFY_SC3,irrigation,-0.1,NA,21.261539444444445,-0.1,4.749188645833334,0.2806562222222222,-0.1
2023-12-21,PFY_SC4,irrigation,-1.2,NA,47.9924075,-0.1,6.65,0.33015245833333334,-0.1
2023-12-21,PFY_SC4,irrigation,-0.8,NA,21.976388888888888,-0.1,5.952532986111112,0.3172209236111111,-0.1
2023-12-21,PFY_SC4,irrigation,-0.1,NA,28.315509375,-0.1,4.220636559027778,0.26766918055555555,-0.1
2023-12-21,PFY_SC6,roof_vpd,-1.2,not below panel,88.75076388888888,-0.1,6.151633680555556,0.29198752777777776,-0.1
2023-12-21,PFY_SC6,roof_vpd,-0.8,not below panel,64.61878472222222,-0.1,5.549930555555555,0.3424987638888889,-0.1
2023-12-21,PFY_SC6,roof_vpd,-0.1,not below panel,7.3825694097222225,-4.272013798611111,3.65761225,0.19317752777777777,-4.268491939471853
2023-12-21,PFY_SC701,control,-1.2,NA,29.534097222222222,-0.2770775486111111,6.618268513888888,0.30490297222222223,-0.27707754861106837
2023-12-21,PFY_SC701,control,-0.8,NA,15.789652777777778,-0.8385647569444444,5.661946177083333,0.19996475694444443,-0.8385509737659291
2023-12-21,PFY_SC701,control,-0.1,NA,0.6090277847222222,-4.845189777777778,3.6759455729166666,0.2047922013888889,-4.841803177774681
2023-12-21,PFY_SC901,irrigation,-1.2,NA,24.858993055555555,-0.1,6.743164347222222,0.3226817152777778,-0.1
2023-12-21,PFY_SC901,irrigation,-0.8,NA,27.390208333333334,-0.1,6.011213541666667,0.24633146527777777,-0.1
2023-12-21,PFY_SC901,irrigation,-0.1,NA,27.609652708333332,-0.1,4.075016194444444,0.23290481944444444,-0.1
2023-12-22,PFY_SC1,control,-1.2,NA,69.76246527777778,-0.18254630555555557,6.699999999999999,0.31446827083333334,-0.18171875694304593
2023-12-22,PFY_SC1,control,-0.8,NA,82.45694444444445,-7.970883951388889,6.051940388888888,0.31430363194444444,-7.953046229289891
2023-12-22,PFY_SC1,control,-0.1,NA,1.8222222152777778,-0.24944444444444444,5.131384222222223,0.0881464513888889,-0.24944444444442226
2023-12-22,PFY_SC10,irrigation_vpd,-1.2,NA,37.843889097222224,-0.1,6.800000000000001,0.2772010902777778,-0.1
2023-12-22,PFY_SC10,irrigation_vpd,-0.8,NA,26.488958333333333,-0.11574653472222222,6.2757939756944445,0.28712575,-0.115682875
2023-12-22,PFY_SC10,irrigation_vpd,-0.1,NA,NA,-0.3,5.516282409722222,NA,-0.2999999999999429
2023-12-22,PFY_SC11,roof,-1.2,below panel center,39.57432868055555,-0.10214120833333334,6.35,0.30364847916666665,-0.10172454166666667
2023-12-22,PFY_SC11,roof,-0.8,below panel center,38.62229166666667,-0.2589537013888889,5.345028934027778,0.12208090972222223,-0.25895370138885665
2023-12-22,PFY_SC11,roof,-0.1,below panel center,17.364259444444446,-0.1,4.6257574861111115,0.2791813125,-0.1
2023-12-22,PFY_SC12,roof_vpd,-1.2,below panel edge,90.89658569444444,-0.09666088194444444,6.554065388888889,0.337751,-0.09597222222222222
2023-12-22,PFY_SC12,roof_vpd,-0.8,below panel edge,50.405659722222225,-3.5149119305555554,5.834232059027777,0.2983691736111111,-3.513554512072703
2023-12-22,PFY_SC12,roof_vpd,-0.1,below panel edge,13.262569375,-0.39679165972222225,5.232710618055556,0.2956941111111111,-0.3967916592416285
2023-12-22,PFY_SC13,roof,-1.2,below panel edge to center,40.13897020833333,-0.1,6.85,0.31779097222222225,-0.1
2023-12-22,PFY_SC13,roof,-0.8,below panel edge to center,35.42579861111111,-0.3403425902777778,6.3292320590277775,0.2827326041666667,-0.3403425902713232
2023-12-22,PFY_SC13,roof,-0.1,below panel edge to center,21.02422451388889,-1.6138610833333333,5.561249972222222,0.16732863194444444,-1.6138417359594766
2023-12-22,PFY_SC14,irrigation_vpd,-1.2,NA,20.629189930555555,-0.09763310416666666,6.75,0.18264979166666667,-0.09666666666666668
2023-12-22,PFY_SC14,irrigation_vpd,-0.8,NA,27.74517361111111,-2.181541590277778,5.951278934027778,0.2787112291666667,-2.181433511477856
2023-12-22,PFY_SC14,irrigation_vpd,-0.1,NA,23.164606458333335,-4.871189763888889,5.279993020833333,0.1866858263888889,-4.868052724528585
2023-12-22,PFY_SC15,irrigation_vpd,-1.2,NA,47.674375,-0.19262731944444444,6.75,0.2939149236111111,-0.1926273194444409
2023-12-22,PFY_SC15,irrigation_vpd,-0.8,NA,48.487569444444446,-0.36713888194444444,6.219648722222222,0.31973209027777777,-0.36713888184370413
2023-12-22,PFY_SC15,irrigation_vpd,-0.1,NA,7.376412034722223,-0.09229166666666667,5.434234923611111,0.2269066875,-0.08993055555555556
2023-12-22,PFY_SC16,roof_vpd,-1.2,below panel edge,29.77422451388889,-0.2945081041666667,6.81652890625,0.2780175208333333,-0.2945081041666133
2023-12-22,PFY_SC16,roof_vpd,-0.8,below panel edge,34.6465625,-1.861740701388889,5.9623206006944445,0.3135402986111111,-1.861681363937385
2023-12-22,PFY_SC16,roof_vpd,-0.1,below panel edge,22.853495416666668,-0.1,5.265418961805556,0.24240066666666665,-0.1
2023-12-22,PFY_SC17,roof,-1.2,below panel edge to center,25.4528125,-2.345844826388889,7.35,0.25872375694444444,-2.3454885119737305
2023-12-22,PFY_SC17,roof,-0.8,below panel edge to center,38.18128472222222,-0.40207406944444446,6.599861111111111,0.3151176111111111,-0.40207406929743505
2023-12-22,PFY_SC17,roof,-0.1,below panel edge to center,20.518749930555554,-0.6846203541666667,5.623093722222222,0.21657311805555554,-0.6846201053792047
2023-12-22,PFY_SC18,control,-1.2,NA,47.649270763888886,-5.163686229166666,6.85,0.29199125,-5.158820975668841
2023-12-22,PFY_SC18,control,-0.8,NA,31.432743055555555,-9.683717326388889,6.115340847222222,0.2703055486111111,-9.650774963028303
2023-12-22,PFY_SC18,control,-0.1,NA,8.207326305555556,-1.5620277847222221,5.493964097222222,0.2056979236111111,-1.562012665650268
2023-12-22,PFY_SC3,irrigation,-1.2,NA,56.71180548611111,-0.1,6.850208333333333,0.29815831944444443,-0.1
2023-12-22,PFY_SC3,irrigation,-0.8,NA,79.79513888888889,-0.1,6.35,0.3502170416666667,-0.1
