date,Treatment,Total_Sap_Flow
2024-06-27,roof,0.40426152020884315
2024-06-27,roof_vpd,0.44885286819941117
2024-06-28,control,0.6131182126798759
2024-06-28,irrigation,1.432308856257033
2024-06-28,irrigation_vpd,1.3127714851800625
2024-06-28,roof,0.35806903461057593
2024-06-28,roof_vpd,0.4099088808441424
2024-06-29,control,0.4456455237465445
2024-06-29,irrigation,1.0245420558873723
2024-06-29,irrigation_vpd,0.9216734386968691
2024-06-29,roof,0.259981594811918
2024-06-29,roof_vpd,0.30023366108945104
2024-06-30,control,0.4607318936384274
2024-06-30,irrigation,1.0334642892710713
2024-06-30,irrigation_vpd,0.8863219852644483
2024-06-30,roof,0.27837677559328844
2024-06-30,roof_vpd,0.3063043465621481
2024-07-01,control,0.4453170707092882
2024-07-01,irrigation,1.0029023118406541
2024-07-01,irrigation_vpd,0.9232556901194658
2024-07-01,roof,0.28961962166268357
2024-07-01,roof_vpd,0.30152862029532324
2024-07-02,control,0.5225938623586064
2024-07-02,irrigation,1.26344933291777
2024-07-02,irrigation_vpd,1.1501320541257671
2024-07-02,roof,0.31640237135613025
2024-07-02,roof_vpd,0.3559114294663995
2024-07-03,control,0.3711767180975407
2024-07-03,irrigation,0.9072709169031672
2024-07-03,irrigation_vpd,0.8016357654447367
2024-07-03,roof,0.2275606251914224
2024-07-03,roof_vpd,0.26168637622656005
2024-07-04,control,0.44128180338008127
2024-07-04,irrigation,1.182841133046015
2024-07-04,irrigation_vpd,1.1543884559894182
2024-07-04,roof,0.2545630998777742
2024-07-04,roof_vpd,0.31366557325409955
2024-07-05,control,0.4002638127780653
2024-07-05,irrigation,1.093905943779058
2024-07-05,irrigation_vpd,1.0892441553749583
2024-07-05,roof,0.22057077003394265
2024-07-05,roof_vpd,0.28308553171378803
2024-07-06,control,0.2505010128227112
2024-07-06,irrigation,0.585613166510706
2024-07-06,irrigation_vpd,0.5438407211800718
2024-07-06,roof,0.15591648604119018
2024-07-06,roof_vpd,0.17471193135317833
2024-07-07,control,0.42107832450431426
2024-07-07,irrigation,0.9172264123227246
2024-07-07,irrigation_vpd,0.8123165802758868
2024-07-07,roof,0.29891958187805245
2024-07-07,roof_vpd,0.26390051305715767
