date,scenario,sf
2011-05-03,control,30.719258945083332
2011-05-03,irrigation stop,24.292292542416668
2011-05-04,control,33.63705140983333
2011-05-04,irrigation stop,25.13397223375
2011-05-05,control,33.66455981833333
2011-05-05,irrigation stop,22.906506086500002
2011-05-06,control,32.49263271925
2011-05-06,irrigation stop,20.30511344833333
2011-05-07,control,29.109197919083332
2011-05-07,irrigation stop,17.219170514333335
2011-05-08,control,33.63555173275
2011-05-08,irrigation stop,18.81101752925
2011-05-09,control,29.754979405166665
2011-05-09,irrigation stop,16.480120616916665
2011-05-10,control,24.639437623583333
2011-05-10,irrigation stop,12.639340062166667
2011-05-11,control,13.13203355275
2011-05-11,irrigation stop,7.686625806083333
2011-05-12,control,30.578484878083334
2011-05-12,irrigation stop,17.37153463716667
2011-05-13,control,14.727806334250001
2011-05-13,irrigation stop,14.5671220625
2011-05-14,control,22.119532010166665
2011-05-14,irrigation stop,24.405272249333336
2011-05-15,control,36.65933333808333
2011-05-15,irrigation stop,41.0465453015
2011-05-16,control,36.01462658966667
2011-05-16,irrigation stop,43.42602880625
2011-05-17,control,38.76485575183334
2011-05-17,irrigation stop,52.96053680958333
2011-05-18,control,34.27069462375
2011-05-18,irrigation stop,50.47223768916667
2011-05-19,control,35.58327890491667
2011-05-19,irrigation stop,54.95181839016667
2011-05-20,control,34.09192250941667
2011-05-20,irrigation stop,54.44365039183334
2011-05-21,control,26.237494145166668
2011-05-21,irrigation stop,45.14842883083333
2011-05-22,control,35.14425839858333
2011-05-22,irrigation stop,59.30076710983333
2011-05-23,control,35.824398995833334
2011-05-23,irrigation stop,61.86998711866667
2011-05-24,control,34.05820819175
2011-05-24,irrigation stop,60.032433897
2011-05-25,control,31.33602156491667
2011-05-25,irrigation stop,55.247029226166674
2011-05-26,control,9.640480610333334
2011-05-26,irrigation stop,30.229812146
2011-05-27,control,36.187696924166666
2011-05-27,irrigation stop,62.95798989516666
2011-05-28,control,37.54346946025
2011-05-28,irrigation stop,64.44479218441667
2011-05-29,control,35.51231899741667
2011-05-29,irrigation stop,64.07903610725
2011-05-30,control,0.6685093014166666
2011-05-30,irrigation stop,3.9256748075833334
2011-05-31,control,12.786426121916666
2011-05-31,irrigation stop,25.833120429666668
2011-06-01,control,33.01213181775
2011-06-01,irrigation stop,49.012298994999995
2011-06-02,control,37.88470933
2011-06-02,irrigation stop,49.1782752
2011-06-03,control,38.00426272283333
2011-06-03,irrigation stop,49.36159157349999
2011-06-04,control,41.560851837
2011-06-04,irrigation stop,52.943259503583334
2011-06-05,control,37.64347414666666
2011-06-05,irrigation stop,47.8912443165
2011-06-06,control,30.839469665833334
2011-06-06,irrigation stop,41.87030955991666
2011-06-07,control,8.575030169916667
2011-06-07,irrigation stop,14.730401216583333
2011-06-08,control,30.29823815975
2011-06-08,irrigation stop,44.96039035625
2011-06-09,control,43.37698478716666
2011-06-09,irrigation stop,55.85025458625
2011-06-10,control,36.588629035833335
2011-06-10,irrigation stop,48.038054908
2011-06-11,control,38.50853474
2011-06-11,irrigation stop,50.71675261666667
2011-06-12,control,28.552777680416668
2011-06-12,irrigation stop,40.29214345641667
2011-06-13,control,39.489528812083336
2011-06-13,irrigation stop,55.182246901333336
2011-06-14,control,39.23300916416667
2011-06-14,irrigation stop,56.727785782000005
2011-06-15,control,29.233278063833332
2011-06-15,irrigation stop,43.728013487750005
2011-06-16,control,22.744894611583334
2011-06-16,irrigation stop,35.79504929633333
2011-06-17,control,11.724262832416667
2011-06-17,irrigation stop,20.324206096833333
2011-06-18,control,40.625864878
2011-06-18,irrigation stop,56.597113665500004
2011-06-19,control,42.460260520333335
2011-06-19,irrigation stop,56.57001862825
2011-06-20,control,40.0477587245
2011-06-20,irrigation stop,53.70665457125
2011-06-21,control,28.895401435166665
2011-06-21,irrigation stop,42.66193708058333
2011-06-22,control,19.655018200166666
2011-06-22,irrigation stop,30.904119847
2011-06-23,control,45.33286499575
2011-06-23,irrigation stop,59.49831839341667
2011-06-24,control,45.06962572608333
2011-06-24,irrigation stop,59.75896064050001
2011-06-25,control,45.17016321008333
2011-06-25,irrigation stop,60.42139499908333
2011-06-26,control,44.16545920333333
2011-06-26,irrigation stop,63.09897319283333
2011-06-27,control,41.19385665266667
2011-06-27,irrigation stop,61.56741107216667
2011-06-28,control,30.56510826125
2011-06-28,irrigation stop,50.12774874975
2011-06-29,control,37.19898855108333
