date,treatment,depth,SWP_corr,VWC
2023-12-23,irrigation_vpd,-1.2,-0.191037810153486,0.2491547199074074
2023-12-23,irrigation_vpd,-0.8,-1.7488917076156976,0.29391368055555556
2023-12-23,irrigation_vpd,-0.1,-1.9946320045802235,NA
2023-12-23,roof,-1.2,-1.8595223415388955,0.2907442083333333
2023-12-23,roof,-0.8,-0.5156588810311884,0.23855325
2023-12-23,roof,-0.1,-1.9220262169944247,0.21777780787037038
2023-12-23,roof_vpd,-1.2,-0.20508873607513864,0.2994595277777778
2023-12-23,roof_vpd,-0.8,-3.1189029790806364,0.31573308101851855
2023-12-23,roof_vpd,-0.1,-2.3939948121795984,0.2411434976851852
2023-12-24,control,-1.2,-5.101579564518633,0.2997334837962963
2023-12-24,control,-0.8,-9.709587889699439,0.25709831250000004
2023-12-24,control,-0.1,-4.0653105341237525,0.16208757870370372
