date,cum_d_prec,td,cum_d_tran,int_loss,cum_d_slvp,flow,sens
2024-06-20,3.032,-1.1102230246251565e-16,0.5903963989253261,0.7568532506456701,0.04004975269600925,0.07442786329780501,default
2024-06-21,12.82,-1.6653345369377348e-16,0.21878855943018452,0.5670472058308621,0.027054641872046675,0.06851253137595291,default
2024-06-22,6.498,-2.220446049250313e-16,1.0506226047120233,0.8646032707673782,0.38278874285231224,0.06809470102363377,default
2024-06-23,0.036,6.661338147750939e-16,1.7065320027875506,0.013626180895366623,0.532566955802189,0.07778538510839622,default
2024-06-24,0.0,4.440892098500626e-16,2.9445581313776303,0.0,0.6886688489102931,0.0918799045306446,default
2024-06-25,0.0,4.440892098500626e-16,2.5899974972171225,0.0,0.40170908366713676,0.10116937474256364,default
2024-06-26,0.163,-2.220446049250313e-16,1.8215101032967302,0.06189112684265419,0.21088170696231207,0.10296940936462587,default
2024-06-27,0.021,-8.881784197001252e-16,3.30656958394746,0.007981504923384217,0.29855295168089413,0.0992519205234906,default
2024-06-28,0.0,-8.881784197001252e-16,3.0975711627968625,0.0,0.20521861297805982,0.09198820452640873,default
2024-06-29,0.501,-2.220446049250313e-16,1.3293157235748523,0.19076843635901988,0.04204865641744896,0.08251296885637834,default
2024-06-30,0.0,4.440892098500626e-16,1.5616391658134234,0.0,0.05835022759565253,0.07264744133768598,default
2024-07-01,2.432,8.881784197001252e-16,1.866974422778993,0.927631696694853,0.07499407261824875,0.06365766943985617,default
2024-07-02,0.0,8.881784197001252e-16,2.6048876196087676,0.0,0.07292088215729645,0.05594191154234896,default
2024-07-03,0.551,6.661338147750939e-16,1.4650622884778128,0.21049807572612814,0.038606219540264344,0.049369340938771586,default
2024-07-04,0.0,-4.440892098500626e-16,3.0967269529784094,0.0,0.08232817731519929,0.0434099436728925,default
2024-07-05,0.0,1.3322676295501878e-15,3.1159511588145477,0.0,0.06829144860812293,0.03782293420820026,default
2024-07-06,14.904,2.220446049250313e-16,1.2081374738307828,1.0288028705945313,0.028257511621449037,0.03250154571943962,default
2024-07-07,1.166,-4.440892098500626e-16,2.3387640291745386,0.4466770597451293,0.3123154619791959,0.028948371158439918,default
2024-07-08,0.0,0.0,3.050343800300527,0.0,0.29948999586309766,0.0284822453188909,default
2024-07-09,0.0,-4.440892098500626e-16,3.3630512430858865,0.0,0.24438501248656735,0.028567288140479874,default
2024-07-10,1.454,0.0,2.207628232219419,0.5579733082397841,0.11008424187646472,0.027622159184113284,default
2024-07-11,0.179,0.0,2.7934582080104526,0.0687268425240005,0.09958535036223627,0.02575083961524943,default
2024-07-12,17.248,-1.1102230246251565e-16,0.43780719461693834,0.6387445646079908,0.0172680010538876,0.023503507827538454,default
2024-07-13,0.008,0.0,2.5885146485345487,0.0030744835064898395,0.4634207578734515,0.02252429083615286,default
2024-07-14,0.0,4.440892098500626e-16,2.617580620296116,0.0,0.358714143251709,0.02434303943501332,default
2024-07-15,14.724,-4.440892098500626e-16,2.1272358463799574,1.4038551916490714,0.27818204487137266,0.026446861932495992,default
2024-07-16,2.591,0.0,2.3801815752802327,0.996929502996243,0.750345677089401,0.028918628745850678,default
2024-07-17,0.0,-4.440892098500626e-16,2.7805347210180336,0.0,0.5154635129139116,0.033765120274971416,default
2024-07-18,0.0,0.0,2.957895673662712,0.0,0.35234909191414565,0.038336692851319513,default
2024-07-19,0.0,-4.440892098500626e-16,2.908086954170159,0.0,0.24609632372353446,0.0403619590144657,default
2024-07-20,0.0,0.0,3.346572579875829,0.0,0.18417938592202743,0.0397544846462375,default
2024-07-21,6.334,4.440892098500626e-16,1.0608981667026116,0.9878889051004613,0.035602476913546136,0.037280136760282086,default
2024-07-22,0.0,4.440892098500626e-16,2.8736612783883797,0.0,0.15220613329167018,0.03454340255708551,default
2024-07-23,0.0,-8.881784197001252e-16,2.79871938344779,0.0,0.12238403737654882,0.03254555685080155,default
2024-07-24,0.0,4.440892098500626e-16,2.9163261632069704,0.0,0.07167875674153262,0.030275566349866685,default
2024-07-25,0.0,-8.881784197001252e-16,2.9700702020560477,0.0,0.052684532676926785,0.027363094176700103,default
2024-07-26,0.0,4.440892098500626e-16,3.0389688518008784,0.0,0.0437257472638841,0.024004645938859894,default
2024-07-27,0.0,-1.3322676295501878e-15,3.063833041660034,0.0,0.0454857226930913,0.020463602227912818,default
2024-07-28,0.179,0.10113254368942082,3.0973374753666576,0.06901735172358792,0.03402771010288068,0.01697321068595348,default
2024-07-29,0.0,0.46848897856412286,2.725585423210641,0.0,0.03049113509247865,0.013729430125000244,default
2024-07-30,0.0,0.8697243870093252,2.3420672844002532,0.0,0.03651499946550058,0.010877908933334545,default
