dates,treatment,VPD,tmax,tmin,tmean,Es,Ea
2024-12-02,control,0.20618000925925928,7.9832963333333335,1.0685066666666667,4.546857173611111,0.8514998837710755,0.6453198745118163
2024-12-02,irrigation_vpd,0.2441131388888889,8.283827,1.312767,4.872091569444445,0.8707516896973033,0.6266385508084144
2024-12-03,control,0.06373883333333334,6.28746,2.10868,4.039739243055555,0.8182143187978471,0.7544754854645138
2024-12-03,irrigation_vpd,0.0868388263888889,6.453613,2.43474,4.221884888888889,0.828463816129318,0.7416249897404291
2024-12-04,control,0.08838068055555558,4.3778966666666665,-1.6737366666666667,1.2730023611111112,0.6730938195849402,0.5847131390293846
2024-12-04,irrigation_vpd,0.11715488194444443,4.442053,-1.399733,1.6470101388888887,0.6908245247377964,0.573669642793352
2024-12-05,control,0.12954841666666664,2.8259933333333334,-3.0769433333333334,-0.17528384259259217,0.6100215529077389,0.48047313624107213
2024-12-05,irrigation_vpd,0.1564156111111111,2.94606,-2.62196,0.19755139583333317,0.625916726886383,0.46950111577527187
2024-12-06,control,0.08398255787037036,7.797742333333333,-0.99882,3.077456773148148,0.7720150298497936,0.6880324719794233
2024-12-06,irrigation_vpd,0.1107042777777778,8.053673,-0.11494,3.3740615833333334,0.7885543585102457,0.6778500807324679
2024-12-07,control,0.11478121064814817,4.893086666666667,-0.7518433333333333,1.956978238425926,0.7064856952507097,0.5917044846025615
2024-12-07,irrigation_vpd,0.13646328472222224,5.09292,-0.2724,2.1312527847222222,0.7150421925065046,0.5785789077842823
2024-12-08,control,0.03881098379629629,2.9048133333333332,-0.945,1.0018549074074077,0.6591951212856635,0.6203841374893673
2024-12-08,irrigation_vpd,0.058517152777777776,2.870853,-0.618827,1.214292597222222,0.668821828383332,0.6103046756055542
2024-12-09,control,0.02527927777777778,3.8314566666666665,-0.6767366666666667,1.5881286574074072,0.6872649349628785,0.6619856571851007
2024-12-09,irrigation_vpd,0.037509840277777776,3.867126,-0.185707,1.672708201388889,0.6911444018450665,0.6536345615672888
2024-12-10,control,0.05273471064814815,1.38304,-2.3174433333333333,-0.5912021689814815,0.5867054522701977,0.5339707416220495
2024-12-10,irrigation_vpd,0.0797381388888889,2.085447,-1.9066,-0.17723854166666667,0.604602077983695,0.5248639390948061
2024-12-11,control,0.03192603935185185,-0.11066,-3.414606666666667,-2.131707685185185,0.5237200184117693,0.49179397905991745
2024-12-11,irrigation_vpd,0.06350811111111111,1.416173,-2.845367,-1.4287780694444443,0.5520561640295043,0.48854805291839326
2024-12-12,control,0.059593351851851856,-1.4378166666666667,-5.05085,-3.4840791643518516,0.47413929904314783,0.414545947191296
2024-12-12,irrigation_vpd,0.10605618750000001,1.092273,-4.598706,-2.472572270833333,0.5123164543556685,0.4062602668556685
2024-12-13,control,0.12061241898148149,3.4720933333333335,-4.11207,-1.2681037731481482,0.5635833316103492,0.4429709126288678
2024-12-13,irrigation_vpd,0.15937475,4.17396,-3.38652,-0.5521023263888893,0.592974131557433,0.43359938155743294
2024-12-14,control,0.0762003912037037,2.5448133333333334,-1.8956066666666667,0.5564393518518522,0.6397384760984421,0.5635380848947384
2024-12-14,irrigation_vpd,0.08993303472222222,2.5328,-1.872373,0.7160542847222222,0.6470855909363306,0.5571525562141083
2024-12-15,control,0.13487117361111112,5.226846666666667,-1.6986266666666667,2.265445300925926,0.7244148063371886,0.5895436327260775
2024-12-15,irrigation_vpd,0.15008908333333332,5.327366,-1.248513,2.4428633333333334,0.7330547411902629,0.5829656578569296
2024-12-16,control,0.08416685879629629,2.20765,-2.3278333333333334,-0.3512666041666666,0.5980456410117452,0.5138787822154489
2024-12-16,irrigation_vpd,0.12539763888888888,4.281826,-2.102713,0.43945961805555556,0.6350561226013258,0.5096584837124369
2024-12-17,control,0.12766728935185184,4.824773333333333,-0.48492,2.2810968356481482,0.7254993415271648,0.597832052175313
2024-12-17,irrigation_vpd,0.19894538888888888,7.370026,-0.07366,3.362081479166667,0.7853488733361662,0.5864034844472774
2024-12-18,control,0.22333625462962964,7.692113,2.6486366666666665,5.133080129629629,0.8859865632742672,0.6626503086446376
2024-12-18,irrigation_vpd,0.2664679861111111,7.95234,2.790967,5.593830423611111,0.9138919519722676,0.6474239658611565
2024-12-19,control,0.09909803935185184,6.07245,2.98858,4.384078835648149,0.8370076887676232,0.7379096494157714
2024-12-19,irrigation_vpd,0.12353302777777778,6.421793,3.093446,4.606496395833333,0.8501122994319906,0.7265792716542129
2024-12-20,control,0.1858546851851852,3.7035533333333333,-2.3548633333333333,1.2620899930555556,0.6734263806776196,0.48757169549243445
2024-12-20,irrigation_vpd,0.19476717361111112,3.697286,-2.185893,1.2947739097222222,0.6746787604458118,0.47991158683470064
2024-12-21,control,0.11527515972222221,2.0142366666666667,-3.89155,-1.0007663495370367,0.571042552651595,0.45576739292937274
2024-12-21,irrigation_vpd,0.13353064583333332,2.229767,-3.71754,-0.8171685416666664,0.5786696472792847,0.4451390014459514
2024-12-22,control,0.015276342592592595,3.07551,-0.6787133333333333,0.3737949791666666,0.629229386844115,0.6139530442515224
2024-12-22,irrigation_vpd,0.021530541666666667,3.508366,-0.749,0.39344772916666665,0.6305575670062502,0.6090270253395835
2024-12-23,control,0.01898242361111111,1.4872233333333333,-1.1139966666666667,0.02285826388888883,0.6124732225882186,0.5934907989771075
2024-12-23,irrigation_vpd,0.022329569444444444,1.596353,-1.172713,0.010071055555555446,0.6119948076165361,0.5896652381720917
