dates,treatment,VPD,tmax,tmin,tmean
2024-01-09,irrigation,0.09544116574074074,2.421,-1.5516666666666667,-0.35847106481481483
2024-01-09,irrigation_vpd,0.0982345125,2.409666666666667,-1.5513333333333332,-0.3542375
2024-01-09,roof,0.09236810324074074,2.385333333333333,-1.6493333333333333,-0.42281574074074074
2024-01-09,roof_vpd,0.09095904282407408,2.414,-1.6536666666666666,-0.40755300925925925
2024-01-10,control,0.07913283333333333,4.041333333333333,-2.7933333333333334,0.046983333333333335
2024-01-10,irrigation,0.07765094050925926,3.905666666666667,-2.7493333333333334,0.04685717592592593
2024-01-10,irrigation_vpd,0.08130946157407408,3.969666666666667,-2.7293333333333334,0.06646620370370371
2024-01-10,roof,0.07504182824074074,4.126333333333333,-2.852666666666667,-0.008554861111111112
2024-01-10,roof_vpd,0.07136970208333333,4.041,-2.8553333333333333,-0.04844560185185185
2024-01-11,control,0.06170251828703704,0.4846666666666667,-3.094,-1.4624233796296295
2024-01-11,irrigation,0.0620143712962963,0.389,-2.9793333333333334,-1.4358087962962962
2024-01-11,irrigation_vpd,0.06569169467592592,0.37466666666666665,-2.795,-1.3734189814814814
2024-01-11,roof,0.055813109953703706,0.293,-3.1903333333333332,-1.5753016203703705
2024-01-11,roof_vpd,0.05308447268518519,0.14533333333333334,-3.1946666666666665,-1.6022324074074075
2024-01-12,control,0.04256891736111111,-1.1493333333333333,-5.154,-2.689583333333333
2024-01-12,irrigation,0.04306017361111111,-1.1356666666666666,-5.135,-2.666970138888889
2024-01-12,irrigation_vpd,0.04500495069444444,-1.1546666666666667,-5.108333333333333,-2.625189814814815
2024-01-12,roof,0.03969183518518519,-1.1863333333333332,-5.215,-2.7476645833333335
2024-01-12,roof_vpd,0.037825237962962964,-1.1826666666666668,-5.277666666666667,-2.754421296296296
2024-01-13,control,0.060713059953703706,-1.5853333333333333,-6.0553333333333335,-4.266679861111111
2024-01-13,irrigation,0.060323150925925925,-1.8623333333333334,-5.887,-4.239978703703704
2024-01-13,irrigation_vpd,0.06509489814814814,-1.5836666666666668,-5.841,-4.163031712962963
2024-01-13,roof,0.051449085648148145,-2.3116666666666665,-6.108,-4.450486342592592
2024-01-13,roof_vpd,0.04944080486111111,-2.316,-6.096333333333333,-4.476669444444444
2024-01-14,control,0.16161248449074075,2.3543333333333334,-5.810333333333333,-1.7601817129629629
2024-01-14,irrigation,0.16104340925925925,2.3313333333333333,-5.704,-1.7545030092592593
