date,sensor_loc,TWD_pd,TWD_md,MDS,TWD_pdn,MDS_norm,LWP_md,LWP_pd,year,month
2021-08-14,stem,178.83904016666668,224.25712183333331,45.41808166666666,1.3612029948195756,0.3439274852869851,-2.025680697696583,-0.5826300503038596,2021,8
2021-08-15,root,27.443839625,47.208048,19.764208375000003,0.2962701617145091,0.19831766006946036,,,2021,8
2021-08-15,stem,205.454078,252.06619683333332,46.612118833333334,1.561712981826663,0.35364146285389514,-2.1988102367278475,-0.8556311294437151,2021,8
2021-08-16,root,24.98404325,42.473146875,17.489103625000002,0.27337454030558717,0.17838310408491004,,,2021,8
2021-08-16,stem,161.35203216666667,213.03155966666668,51.679527500000006,1.2346126888966096,0.38549570258081767,-1.9530273592600822,-0.5924529956978716,2021,8
2021-08-17,root,39.076130375,55.938798125,16.86266775,0.4167475023895269,0.1704445043866815,,,2021,8
2021-08-17,stem,193.2695235,236.37896666666666,43.109443166666665,1.469517799689492,0.32445200514438394,-2.100932020353339,-0.7201812414439914,2021,8
2021-08-18,root,46.203782125,60.647712625000004,14.443930500000002,0.4867545735316786,0.14537494498879905,,,2021,8
2021-08-18,stem,202.69043783333333,243.4208075,40.73036966666667,1.5397335048460388,0.30757000276717056,-2.145562139701323,-0.8247021764113956,2021,8
2021-08-19,root,45.205231125,59.637231,14.431999875000002,0.47615442842940725,0.14560647782723407,,,2021,8
2021-08-19,stem,195.214639,237.151301,41.93666199999999,1.4836001302745003,0.3175430220341778,-2.106922265581365,-0.743328749768195,2021,8
2021-08-20,root,44.670873875000005,63.847221625,19.176347749999998,0.470528341990415,0.19246845034160356,,,2021,8
2021-08-20,stem,191.064716,244.52813716666668,53.46342116666666,1.4522609565085811,0.40113448586463873,-2.1540761563740123,-0.6990133919442413,2021,8
2021-08-21,root,48.701261125,76.9933635,28.292102375,0.5099964393348855,0.27661277079217256,,,2021,8
2021-08-21,stem,205.22550066666668,270.3851175,65.15961683333333,1.5583914098830793,0.49189917225523405,-2.316918021815897,-0.8525351243226107,2021,8
2021-08-22,root,54.546747125,68.15314599999999,13.606398874999996,0.5691535663057138,0.1366050707698057,,,2021,8
2021-08-22,stem,211.51010100000002,242.26226033333333,30.752159333333324,1.6082537879193053,0.23128424704213452,-2.140648849867405,-0.9199309209848365,2021,8
2021-08-23,root,51.906851625,89.377853625,37.471002000000006,0.5421604840436599,0.3673580618359627,,,2021,8
2021-08-23,stem,194.69995066666667,272.3404743333333,77.64052366666667,1.4805058116249754,0.581501356173283,-2.328329232149164,-0.7360590638711235,2021,8
2021-08-24,root,64.154706125,93.454367125,29.299661,0.6630807112437761,0.28288470337909544,,,2021,8
2021-08-24,stem,213.594675,274.3306275,60.7359525,1.6237246455661363,0.45357126447282914,-2.3419571327714857,-0.9426239810334727,2021,8
2021-08-25,root,67.070537,98.101631875,31.031094874999997,0.6934755726352799,0.2953569463362388,,,2021,8
2021-08-25,stem,205.13825383333332,272.9915995,67.85334566666667,1.5591616850376198,0.5102060187450203,-2.3344962759140007,-0.8495208359939175,2021,8
