date,depth,SWP
2014-04-14,110,-24.52518166666667
2014-04-14,160,-25.768250833333333
2014-04-15,20,-20.630892083333332
2014-04-15,80,-19.044329166666667
2014-04-15,110,-24.964394583333334
2014-04-15,160,-25.9559975
2014-04-16,20,-20.9287875
2014-04-16,80,-19.15104708333333
2014-04-16,110,-25.386660833333334
2014-04-16,160,-26.173619166666665
2014-04-17,20,-21.225857083333334
2014-04-17,80,-19.250564166666667
2014-04-17,110,-25.848664166666666
2014-04-17,160,-26.4265325
2014-04-18,20,-21.568209583333335
2014-04-18,80,-19.349734166666668
2014-04-18,110,-26.34326875
2014-04-18,160,-26.734822083333334
2014-04-19,20,-21.742402916666666
2014-04-19,80,-19.439695416666666
2014-04-19,110,-26.744635833333334
2014-04-19,160,-27.000895833333335
2014-04-20,20,-21.970547916666668
2014-04-20,80,-19.53715875
2014-04-20,110,-27.156647083333333
2014-04-20,160,-27.370793333333335
2014-04-21,20,-22.32252125
2014-04-21,80,-19.643614166666666
2014-04-21,110,-27.598740416666665
2014-04-21,160,-27.996819583333334
2014-04-22,20,-22.785291666666666
2014-04-22,80,-19.76757875
2014-04-22,110,-28.103685833333333
2014-04-22,160,-28.76243125
2014-04-23,20,-23.535082083333332
2014-04-23,80,-19.932232083333332
2014-04-23,110,-28.65181958333333
2014-04-23,160,-30.01905125
2014-04-24,20,-24.547409583333334
2014-04-24,80,-20.14533541666667
2014-04-24,110,-29.328875833333335
2014-04-24,160,-31.72889375
2014-04-25,20,-25.8667475
2014-04-25,80,-20.402852916666667
2014-04-25,110,-30.16689625
2014-04-25,160,-33.99922791666667
2014-04-26,20,-27.08489416666667
2014-04-26,80,-20.657664583333332
2014-04-26,110,-31.119126666666666
2014-04-26,160,-36.109022083333336
2014-04-27,20,-27.89223875
2014-04-27,80,-20.874312916666668
2014-04-27,110,-32.08747666666667
2014-04-27,160,-37.46742125
2014-04-28,20,-27.460320416666665
2014-04-28,80,-21.00844875
2014-04-28,110,-32.871139166666666
2014-04-28,160,-37.783764166666664
2014-04-29,20,-27.578084166666667
2014-04-29,80,-21.125950833333334
2014-04-29,110,-33.39245666666667
2014-04-29,160,-37.84317958333333
2014-04-30,20,-27.457519583333333
2014-04-30,80,-21.29976875
2014-04-30,110,-34.031708333333334
2014-04-30,160,-38.45542833333333
2014-05-01,20,-27.275144583333333
2014-05-01,80,-21.501730416666668
2014-05-01,110,-34.87455958333333
2014-05-01,160,-39.25331416666667
2014-05-02,20,-26.971088333333334
2014-05-02,80,-21.67382
2014-05-02,110,-35.67646333333333
2014-05-02,160,-39.893164166666665
2014-05-03,20,-26.982142083333333
2014-05-03,80,-21.866132083333333
2014-05-03,110,-36.475258333333336
2014-05-03,160,-40.49946416666667
2014-05-04,20,-27.36666875
2014-05-04,80,-22.116322083333333
2014-05-04,110,-37.44917916666667
2014-05-04,160,-41.617392083333336
2014-05-05,20,-28.12800208333333
2014-05-05,80,-22.433789166666667
2014-05-05,110,-38.63027458333333
2014-05-05,160,-43.18943083333333
2014-05-06,20,-29.390395416666667
2014-05-06,80,-22.846347916666666
2014-05-06,110,-39.8659175
2014-05-06,160,-45.15139875
2014-05-07,20,-29.93794666666667
2014-05-07,80,-23.137814166666665
2014-05-07,110,-40.68145125
2014-05-07,160,-46.05113375
2014-05-08,20,-30.540762083333334
2014-05-08,80,-23.44193
2014-05-08,110,-41.15830875
2014-05-08,160,-46.325161666666666
2014-05-09,20,-32.33186583333333
2014-05-09,80,-23.930419583333332
2014-05-09,110,-41.8077225
2014-05-09,160,-47.639085
2014-05-10,20,-34.488339583333335
2014-05-10,80,-24.499612916666667
2014-05-10,110,-42.55081791666667
2014-05-10,160,-49.122620833333336
2014-05-11,20,-36.38412458333333
2014-05-11,80,-25.03623
2014-05-11,110,-43.325894166666664
2014-05-11,160,-50.43851791666667
2014-05-12,20,-37.04729583333333
2014-05-12,80,-25.440995833333332
2014-05-12,110,-43.9670875
2014-05-12,160,-51.00690916666667
2014-05-13,20,-37.03251125
2014-05-13,80,-25.82190375
2014-05-13,110,-44.57861125
2014-05-13,160,-51.506967083333336
2014-05-14,20,-36.74272166666667
2014-05-14,80,-26.2086425
2014-05-14,110,-45.170894583333336
2014-05-14,160,-51.99940958333333
2014-05-15,20,-36.9219425
2014-05-15,80,-26.680509166666667
2014-05-15,110,-45.824985416666664
2014-05-15,160,-53.09407125
2014-05-16,20,-37.82254916666667
2014-05-16,80,-27.285742083333332
2014-05-16,110,-46.633451666666666
2014-05-16,160,-54.95198083333334
2014-05-17,20,-39.372307916666664
2014-05-17,80,-27.98716625
2014-05-17,110,-47.60724333333333
2014-05-17,160,-57.185759166666664
2014-05-18,20,-42.013972083333336
2014-05-18,80,-28.8498825
2014-05-18,110,-48.74322458333333
2014-05-18,160,-59.83362666666667
2014-05-19,20,-46.4524475
2014-05-19,80,-30.025320833333332
2014-05-19,110,-50.132009583333335
2014-05-19,160,-63.36991583333334
2014-05-20,20,-52.580717916666664
2014-05-20,80,-31.5381675
2014-05-20,110,-51.79162625
2014-05-20,160,-68.05075791666667
2014-05-21,20,-60.295577916666666
2014-05-21,80,-33.5115425
2014-05-21,110,-53.76455
2014-05-21,160,-73.52529583333333
2014-05-22,20,-69.24457875
2014-05-22,80,-35.91240875
2014-05-22,110,-56.12487791666667
2014-05-22,160,-77.64297666666667
2014-05-23,20,-74.40611666666666
2014-05-23,80,-37.632110833333336
2014-05-23,110,-58.138909166666664
2014-05-23,160,-81.729645
2014-05-24,20,-79.33465458333333
2014-05-24,80,-39.30743458333333
2014-05-24,110,-59.97289583333333
2014-05-24,160,-83.95865291666667
2014-05-25,20,-85.01341625
2014-05-25,80,-41.629607916666664
2014-05-25,110,-62.025513333333336
2014-05-25,160,-87.48934708333333
2014-05-26,20,-87.50042458333333
2014-05-26,80,-43.57185916666667
2014-05-26,110,-63.913310833333334
2014-05-26,160,-90.333295
2014-05-27,20,-90.82003041666667
2014-05-27,80,-44.909847916666664
2014-05-27,110,-65.4033275
2014-05-27,160,-90.64737416666667
2014-05-28,20,-97.081785
2014-05-28,80,-46.84870958333333
2014-05-28,110,-66.9810025
2014-05-28,160,-91.75887541666667
2014-05-29,20,-104.39711291666667
2014-05-29,80,-49.911350416666664
2014-05-29,110,-68.96095416666667
2014-05-29,160,-95.4191625
2014-05-30,20,-112.43720916666666
2014-05-30,80,-53.69419791666667
2014-05-30,110,-71.25124208333334
2014-05-30,160,-99.5409725
2014-05-31,20,-123.702035
2014-05-31,80,-57.964555833333335
2014-05-31,110,-73.66706666666667
2014-05-31,160,-103.24522791666666
2014-06-01,20,-138.50213041666666
2014-06-01,80,-63.59235916666667
2014-06-01,110,-76.40038208333334
2014-06-01,160,-109.99857416666667
2014-06-02,20,-158.13042916666666
2014-06-02,80,-71.54265375
2014-06-02,110,-79.8177675
2014-06-02,160,-117.38876583333334
2014-06-03,20,-176.10261375
2014-06-03,80,-80.05579916666666
2014-06-03,110,-83.32931708333334
2014-06-03,160,-124.64107875
2014-06-04,20,-188.10318916666665
2014-06-04,80,-85.46221
2014-06-04,110,-86.85493416666667
2014-06-04,160,-132.04992208333334
2014-06-05,20,-200.30756875
2014-06-05,80,-93.4201125
2014-06-05,110,-90.15847916666667
2014-06-05,160,-137.00590541666665
2014-06-06,20,-230.95960291666668
2014-06-06,80,-108.07728374999999
2014-06-06,110,-92.18914416666667
2014-06-06,160,-148.5634675
2014-06-07,20,-271.66132541666667
2014-06-07,80,-134.29021583333332
2014-06-07,110,-96.02352125
2014-06-07,160,-164.23796083333335
2014-06-08,20,-324.9925170833333
2014-06-08,80,-178.9420575
2014-06-08,110,-101.62711083333333
2014-06-08,160,-185.05506916666667
2014-06-09,20,-387.49238
2014-06-09,80,-238.45394125
2014-06-09,110,-104.7958175
2014-06-09,160,-210.31732041666666
2014-06-10,20,-444.55002041666665
2014-06-10,80,-304.01148916666665
2014-06-10,110,-111.61081666666666
2014-06-10,160,-237.66303666666667
2014-06-11,20,-506.74677833333334
2014-06-11,80,-374.36069375
2014-06-11,110,-118.877795
2014-06-11,160,-267.47821875
2014-06-12,20,-573.1115208333333
2014-06-12,80,-445.75042083333335
2014-06-12,110,-126.97938458333333
2014-06-12,160,-299.81279708333335
2014-06-13,20,-633.1285864063625
2014-06-13,80,-509.3071025
2014-06-13,110,-135.19979333333333
2014-06-13,160,-331.66677
2014-06-14,20,-683.23233373265
2014-06-14,80,-565.04199625
2014-06-14,110,-143.42905083333332
2014-06-14,160,-360.7751133333333
2014-06-15,20,-725.5225782318458
2014-06-15,80,-609.16846
2014-06-15,110,-151.47389541666666
2014-06-15,160,-385.1039445833333
2014-06-16,20,-800.4431739932917
2014-06-16,80,-659.677405
2014-06-16,110,-160.46725041666667
2014-06-16,160,-410.0569725
2014-06-17,20,-918.4833622402833
2014-06-17,80,-713.6411945833333
2014-06-17,110,-170.79930125
2014-06-17,160,-440.32961625
2014-06-18,20,-950.1933114234458
2014-06-18,80,-752.1468897066375
2014-06-18,110,-180.1933
2014-06-18,160,-465.03881083333334
2014-06-19,20,-1018.9478263276251
2014-06-19,80,-808.7519365575625
2014-06-19,110,-190.06791333333334
2014-06-19,160,-488.5489104166667
2014-06-20,20,-1155.7343969001668
2014-06-20,80,-903.5137127196916
2014-06-20,110,-201.79061541666667
2014-06-20,160,-518.2767916666667
2014-06-21,20,-1323.7555220289917
2014-06-21,80,-1033.2211603217584
2014-06-21,110,-214.50621791666666
2014-06-21,160,-547.7333304166666
2014-06-22,20,-1516.9530904350543
2014-06-22,80,-1174.8755182341959
2014-06-22,110,-227.79860625
2014-06-22,160,-582.34127
2014-06-23,20,-1655.5725795516166
2014-06-23,80,-1279.9170033696334
2014-06-23,110,-240.30731458333332
2014-06-23,160,-610.4091975
2014-06-24,20,-1692.4964652487458
2014-06-24,80,-1330.0980843758541
2014-06-24,110,-251.26458833333334
2014-06-24,160,-639.2670891062667
2014-06-25,20,-1696.687799646546
2014-06-25,80,-1356.1906448958584
2014-06-25,110,-262.48442
2014-06-25,160,-676.4302358474
2014-06-26,20,-1830.1988284275626
2014-06-26,80,-1439.9047183215876
2014-06-26,110,-278.26061625
2014-06-26,160,-727.435699119125
2014-06-27,20,-2017.5451973357126
2014-06-27,80,-1573.3297595260958
2014-06-27,110,-294.1517308333333
2014-06-27,160,-779.0004037704125
2014-06-28,20,-2192.4833348767206
2014-06-28,80,-1680.4956817604084
2014-06-28,110,-311.5110520833333
2014-06-28,160,-850.8621514840584
2014-06-29,20,-2206.2684487423207
2014-06-29,80,-1738.221218675475
2014-06-29,110,-325.98915375
2014-06-29,160,-924.8705139107792
2014-06-30,20,-2143.7118371625043
2014-06-30,80,-1767.148568891554
2014-06-30,110,-338.69021125
2014-06-30,160,-963.0495879517042
2014-07-01,20,-2234.858459320504
2014-07-01,80,-1830.2362218319124
2014-07-01,110,-354.7745541666667
2014-07-01,160,-1020.8460075426208
2014-07-02,20,-2302.249190711829
2014-07-02,80,-1876.9203639429875
2014-07-02,110,-367.38327541666666
2014-07-02,160,-1075.4824172392166
2014-07-03,20,-2277.984380447925
2014-07-03,80,-1874.6364251187752
2014-07-03,110,-372.39659666666665
2014-07-03,160,-1098.227082535271
2014-07-04,20,-2430.2386033630582
2014-07-04,80,-1917.597029976675
2014-07-04,110,-391.98540291666666
2014-07-04,160,-1149.9715368969541
2014-07-05,20,-2477.5120754541585
2014-07-05,80,-1968.1917757323417
2014-07-05,110,-409.4957708333333
2014-07-05,160,-1214.4590423470374
2014-07-06,20,-2527.021511997225
2014-07-06,80,-2021.5903461866167
2014-07-06,110,-428.11170416666664
2014-07-06,160,-1265.7162521942791
2014-07-07,20,-2522.5295770175835
2014-07-07,80,-2053.2695036420832
2014-07-07,110,-437.50242166666663
2014-07-07,160,-1314.2142900735041
2014-07-08,20,-2270.495671461775
2014-07-08,80,-2043.4149043225875
2014-07-08,110,-430.3569391666667
2014-07-08,160,-1308.0350685651624
2014-07-09,20,-1994.3555947420666
2014-07-09,80,-1993.934659964775
2014-07-09,110,-430.07131125
2014-07-09,160,-1262.81459738675
2014-07-10,20,-1834.0098604127459
2014-07-10,80,-1918.00060217455
2014-07-10,110,-428.39715125
2014-07-10,160,-1221.07166708425
2014-07-11,20,-1760.3071416302917
2014-07-11,80,-1856.440513364075
2014-07-11,110,-426.8220725
2014-07-11,160,-1193.2065461828124
2014-07-12,20,-1767.2462407375708
2014-07-12,80,-1821.1726556553208
2014-07-12,110,-426.89665041666666
2014-07-12,160,-1163.2470750995917
2014-07-13,20,-1781.2744436977875
2014-07-13,80,-1801.961658779846
