date,depth,SWP
2025-05-04,-0.5,-75.21844972222223
2025-05-04,-0.8,-42.40105284722222
2025-05-04,-1.5,-36.16075048611111
2025-05-05,-0.15,-36.26359045138889
2025-05-05,-0.5,-63.890339930555555
2025-05-05,-0.8,-33.376335625
2025-05-05,-1.5,-25.11133075
2025-05-06,-0.15,-43.41618625
2025-05-06,-0.5,-52.21484388888889
2025-05-06,-0.8,-28.335523319444444
2025-05-06,-1.5,-20.666770895833334
2025-05-07,-0.15,-30.7395703125
2025-05-07,-0.5,-47.86862701388889
2025-05-07,-0.8,-27.21372016666667
2025-05-07,-1.5,-20.80131442361111
2025-05-08,-0.15,-17.706010173611112
2025-05-08,-0.5,-28.02178347222222
2025-05-08,-0.8,-19.868371840277778
2025-05-08,-1.5,-15.969336458333332
2025-05-09,-0.15,-24.5559498125
2025-05-09,-0.5,-29.102086180555556
2025-05-09,-0.8,-17.610287979166667
2025-05-09,-1.5,-9.471049368055555
2025-05-10,-0.15,-19.639783430555557
2025-05-10,-0.5,-26.29572701388889
2025-05-10,-0.8,-13.533808125
2025-05-10,-1.5,-1.1341452291666667
2025-05-11,-0.15,-41.799238402777775
2025-05-11,-0.5,-28.077528125
2025-05-11,-0.8,-9.891732916666667
2025-05-11,-1.5,-1
2025-05-12,-0.15,-61.551270208333335
2025-05-12,-0.5,-29.799912291666665
2025-05-12,-0.8,-9.141886944444444
2025-05-12,-1.5,-1
2025-05-13,-0.15,-21.542963611111112
2025-05-13,-0.5,-27.860411111111112
2025-05-13,-0.8,-8.904305138888889
2025-05-13,-1.5,-1
2025-05-14,-0.15,-30.04418027777778
2025-05-14,-0.5,-27.159705694444447
2025-05-14,-0.8,-4.321009833333333
2025-05-14,-1.5,-1
2025-05-15,-0.15,-44.60205111111111
2025-05-15,-0.5,-28.215317847222224
2025-05-15,-0.8,-2.6062230347222224
2025-05-15,-1.5,-1
2025-05-16,-0.15,-49.25393743055555
2025-05-16,-0.5,-29.113630069444447
2025-05-16,-0.8,-2.6622797222222223
2025-05-16,-1.5,-1
2025-05-17,-0.15,-57.31405826388889
2025-05-17,-0.5,-29.922287152777777
2025-05-17,-0.8,-2.892526861111111
2025-05-17,-1.5,-1
2025-05-18,-0.15,-68.672033125
2025-05-18,-0.5,-31.042843958333332
2025-05-18,-0.8,-3.3235771805555556
2025-05-18,-1.5,-1
2025-05-19,-0.15,-85.0465195138889
2025-05-19,-0.5,-32.421528333333335
2025-05-19,-0.8,-3.967397888888889
2025-05-19,-1.5,-1
2025-05-20,-0.15,-98.43424993055555
2025-05-20,-0.5,-33.92533666666667
2025-05-20,-0.8,-4.707001763888889
2025-05-20,-1.5,-1
2025-05-21,-0.15,-87.66489340277778
2025-05-21,-0.5,-34.69477215277777
2025-05-21,-0.8,-5.347234784722223
2025-05-21,-1.5,-1
2025-05-22,-0.15,-27.099362729166668
2025-05-22,-0.5,-26.146777361111113
2025-05-22,-0.8,-3.633910548611111
2025-05-22,-1.5,-1
2025-05-23,-0.15,-14.182982354166668
2025-05-23,-0.5,-18.20374576388889
2025-05-23,-0.8,-1
2025-05-23,-1.5,-1
2025-05-24,-0.15,-27.21782347222222
2025-05-24,-0.5,-20.692101944444445
2025-05-24,-0.8,-1
2025-05-24,-1.5,-1
2025-05-25,-0.15,-35.87549027777778
2025-05-25,-0.5,-23.544004930555555
2025-05-25,-0.8,-1
2025-05-25,-1.5,-1
2025-05-26,-0.15,-34.24757965277777
2025-05-26,-0.5,-25.474374930555555
2025-05-26,-0.8,-1
2025-05-26,-1.5,-1
2025-05-27,-0.15,-34.11112548611111
2025-05-27,-0.5,-26.29520736111111
2025-05-27,-0.8,-1
2025-05-27,-1.5,-1
2025-05-28,-0.15,-39.12988729166667
2025-05-28,-0.5,-28.210573194444443
2025-05-28,-0.8,-1
2025-05-28,-1.5,-1
2025-05-29,-0.15,-7.502873402777778
2025-05-29,-0.5,-11.82156576388889
2025-05-29,-0.8,-1
2025-05-29,-1.5,-1
2025-05-30,-0.15,-22.846812291666666
2025-05-30,-0.5,-14.661633680555555
2025-05-30,-0.8,-1
2025-05-30,-1.5,-1
2025-05-31,-0.15,-36.90131256944444
2025-05-31,-0.5,-19.255642708333333
2025-05-31,-0.8,-1
2025-05-31,-1.5,-1
2025-06-01,-0.15,-52.89687402777778
2025-06-01,-0.5,-22.30771777777778
2025-06-01,-0.8,-1
2025-06-01,-1.5,-1
2025-06-02,-0.15,-28.50578470138889
2025-06-02,-0.5,-19.891977569444446
