date,depth,messvar_name,SWP
2018-05-18,-0.15,PsiSoil15_kPa_Avg,-9.839741347222223
2018-05-18,-0.45,PsiSoil45_kPa_Avg,-10.908983541666666
2018-05-19,-0.05,PsiSoil05_kPa_Avg,-9.73411770138889
2018-05-19,-0.15,PsiSoil15_kPa_Avg,-9.84480975
2018-05-19,-0.45,PsiSoil45_kPa_Avg,-10.944805555555556
2018-05-20,-0.05,PsiSoil05_kPa_Avg,-9.726726826388889
2018-05-20,-0.15,PsiSoil15_kPa_Avg,-9.630607493055555
2018-05-20,-0.45,PsiSoil45_kPa_Avg,-10.942901388888888
2018-05-21,-0.05,PsiSoil05_kPa_Avg,-9.649207284722221
2018-05-21,-0.15,PsiSoil15_kPa_Avg,-9.591823180555556
2018-05-21,-0.45,PsiSoil45_kPa_Avg,-10.891999861111112
2018-05-22,-0.05,PsiSoil05_kPa_Avg,-9.621230361111111
2018-05-22,-0.15,PsiSoil15_kPa_Avg,-9.707137097222223
2018-05-22,-0.45,PsiSoil45_kPa_Avg,-10.912894444444444
2018-05-23,-0.05,PsiSoil05_kPa_Avg,-9.585273958333334
2018-05-23,-0.15,PsiSoil15_kPa_Avg,-9.845485291666666
2018-05-23,-0.45,PsiSoil45_kPa_Avg,-10.931204305555555
2018-05-24,-0.05,PsiSoil05_kPa_Avg,-9.61551963888889
2018-05-24,-0.15,PsiSoil15_kPa_Avg,-9.971531506944444
2018-05-24,-0.45,PsiSoil45_kPa_Avg,-10.944402986111111
2018-05-25,-0.05,PsiSoil05_kPa_Avg,-9.607939895833333
2018-05-25,-0.15,PsiSoil15_kPa_Avg,-9.800717881944445
2018-05-25,-0.45,PsiSoil45_kPa_Avg,-10.957108055555556
2018-05-26,-0.05,PsiSoil05_kPa_Avg,-9.523470791666666
2018-05-26,-0.15,PsiSoil15_kPa_Avg,-9.927752166666666
2018-05-26,-0.45,PsiSoil45_kPa_Avg,-10.967125416666667
2018-05-27,-0.05,PsiSoil05_kPa_Avg,-9.492458520833333
2018-05-27,-0.15,PsiSoil15_kPa_Avg,-10.122870555555556
2018-05-27,-0.45,PsiSoil45_kPa_Avg,-10.921623680555555
2018-05-28,-0.05,PsiSoil05_kPa_Avg,-9.508834861111112
2018-05-28,-0.15,PsiSoil15_kPa_Avg,-9.855197854166667
2018-05-28,-0.45,PsiSoil45_kPa_Avg,-10.814365277777778
2018-05-29,-0.05,PsiSoil05_kPa_Avg,-9.494103819444444
2018-05-29,-0.15,PsiSoil15_kPa_Avg,-10.004783333333334
2018-05-29,-0.45,PsiSoil45_kPa_Avg,-10.87778173611111
