date,depth,SWC
2020-06-27,500,0.4177430555555555
2020-06-27,150,0.2546041666666667
2020-06-28,800,0.46896527777777774
2020-06-28,500,0.41641666666666666
2020-06-28,150,0.2533402777777778
2020-06-29,800,0.46874305555555557
2020-06-29,500,0.4151736111111111
2020-06-29,150,0.25356944444444446
2020-06-30,800,0.467625
2020-06-30,500,0.41409027777777774
2020-06-30,150,0.2531388888888889
2020-07-01,800,0.4687013888888889
2020-07-01,500,0.4123958333333333
2020-07-01,150,0.25556944444444446
2020-07-02,800,0.4727430555555555
2020-07-02,500,0.4130833333333333
2020-07-02,150,0.26209027777777777
2020-07-03,800,0.47525694444444444
2020-07-03,500,0.41536111111111107
2020-07-03,150,0.2694930555555556
2020-07-04,800,0.47386111111111107
2020-07-04,500,0.4190763888888889
