date,depth,messvar_name,SWC
2020-05-18,-0.8,EC1_80cm,0.303
2020-05-18,-0.8,EC2_80cm,0.46316666666666667
2020-05-18,-0.8,EC3_80cm,0.25955555555555554
2020-05-18,-0.5,EC1_50cm,0.3751111111111111
2020-05-18,-0.5,EC2_50cm,0.3030486111111111
2020-05-18,-0.5,EC3_50cm,0.4019652777777778
2020-05-18,-0.15,EC1_15cm,0.24895138888888887
2020-05-18,-0.15,EC2_15cm,0.3201041666666667
2020-05-18,-0.15,EC3_15cm,0.36449305555555556
2020-05-19,-1.5,EC1_150cm,0.195
2020-05-19,-1.5,EC2_150cm,0.44430555555555556
2020-05-19,-1.5,EC3_150cm,0.18059027777777778
2020-05-19,-0.8,EC1_80cm,0.3030069444444444
2020-05-19,-0.8,EC2_80cm,0.4622638888888889
2020-05-19,-0.8,EC3_80cm,0.2602777777777778
2020-05-19,-0.5,EC1_50cm,0.37672916666666667
2020-05-19,-0.5,EC2_50cm,0.30270138888888887
2020-05-19,-0.5,EC3_50cm,0.402
2020-05-19,-0.15,EC1_15cm,0.248
2020-05-19,-0.15,EC2_15cm,0.3198888888888889
2020-05-19,-0.15,EC3_15cm,0.36399305555555556
2020-05-20,-1.5,EC1_150cm,0.19474305555555557
2020-05-20,-1.5,EC2_150cm,0.4444513888888889
2020-05-20,-1.5,EC3_150cm,0.1809861111111111
2020-05-20,-0.8,EC1_80cm,0.3030625
2020-05-20,-0.8,EC2_80cm,0.46097222222222223
2020-05-20,-0.8,EC3_80cm,0.26031944444444444
2020-05-20,-0.5,EC1_50cm,0.3768888888888889
2020-05-20,-0.5,EC2_50cm,0.30169444444444443
2020-05-20,-0.5,EC3_50cm,0.4014930555555556
2020-05-20,-0.15,EC1_15cm,0.24753472222222223
2020-05-20,-0.15,EC2_15cm,0.3196805555555556
2020-05-20,-0.15,EC3_15cm,0.36044444444444446
2020-05-21,-1.5,EC1_150cm,0.194
2020-05-21,-1.5,EC2_150cm,0.44455555555555554
2020-05-21,-1.5,EC3_150cm,0.181
2020-05-21,-0.8,EC1_80cm,0.3034236111111111
2020-05-21,-0.8,EC2_80cm,0.45948611111111115
2020-05-21,-0.8,EC3_80cm,0.2607638888888889
2020-05-21,-0.5,EC1_50cm,0.377
2020-05-21,-0.5,EC2_50cm,0.3000486111111111
2020-05-21,-0.5,EC3_50cm,0.4008402777777778
2020-05-21,-0.15,EC1_15cm,0.24661111111111111
2020-05-21,-0.15,EC2_15cm,0.31922222222222224
2020-05-21,-0.15,EC3_15cm,0.36032638888888885
2020-05-22,-1.5,EC1_150cm,0.1938263888888889
2020-05-22,-1.5,EC2_150cm,0.44499305555555557
2020-05-22,-1.5,EC3_150cm,0.181
2020-05-22,-0.8,EC1_80cm,0.3032986111111111
2020-05-22,-0.8,EC2_80cm,0.45863888888888893
2020-05-22,-0.8,EC3_80cm,0.2608402777777778
2020-05-22,-0.5,EC1_50cm,0.377
2020-05-22,-0.5,EC2_50cm,0.2989722222222222
2020-05-22,-0.5,EC3_50cm,0.40020833333333333
2020-05-22,-0.15,EC1_15cm,0.246
2020-05-22,-0.15,EC2_15cm,0.31847916666666665
2020-05-22,-0.15,EC3_15cm,0.3592916666666667
2020-05-23,-1.5,EC1_150cm,0.19322916666666667
2020-05-23,-1.5,EC2_150cm,0.44431944444444443
2020-05-23,-1.5,EC3_150cm,0.18062499999999998
2020-05-23,-0.8,EC1_80cm,0.30285416666666665
2020-05-23,-0.8,EC2_80cm,0.45856250000000004
2020-05-23,-0.8,EC3_80cm,0.2609722222222222
2020-05-23,-0.5,EC1_50cm,0.3755277777777778
2020-05-23,-0.5,EC2_50cm,0.2985486111111111
2020-05-23,-0.5,EC3_50cm,0.39979861111111115
2020-05-23,-0.15,EC1_15cm,0.24521527777777777
2020-05-23,-0.15,EC2_15cm,0.3166875
2020-05-23,-0.15,EC3_15cm,0.357
2020-05-24,-1.5,EC1_150cm,0.19270833333333334
2020-05-24,-1.5,EC2_150cm,0.44498611111111114
2020-05-24,-1.5,EC3_150cm,0.18
2020-05-24,-0.8,EC1_80cm,0.303
2020-05-24,-0.8,EC2_80cm,0.4569930555555556
2020-05-24,-0.8,EC3_80cm,0.2606041666666667
2020-05-24,-0.5,EC1_50cm,0.37494444444444447
2020-05-24,-0.5,EC2_50cm,0.2971388888888889
2020-05-24,-0.5,EC3_50cm,0.39919444444444446
2020-05-24,-0.15,EC1_15cm,0.245
2020-05-24,-0.15,EC2_15cm,0.31572222222222224
2020-05-24,-0.15,EC3_15cm,0.35354166666666664
2020-05-25,-1.5,EC1_150cm,0.192
2020-05-25,-1.5,EC2_150cm,0.44299305555555557
2020-05-25,-1.5,EC3_150cm,0.18
2020-05-25,-0.8,EC1_80cm,0.303
2020-05-25,-0.8,EC2_80cm,0.4549652777777778
2020-05-25,-0.8,EC3_80cm,0.260625
2020-05-25,-0.5,EC1_50cm,0.3749375
2020-05-25,-0.5,EC2_50cm,0.29574999999999996
2020-05-25,-0.5,EC3_50cm,0.39850694444444446
2020-05-25,-0.15,EC1_15cm,0.24444444444444444
2020-05-25,-0.15,EC2_15cm,0.31488194444444445
2020-05-25,-0.15,EC3_15cm,0.3537430555555555
2020-05-26,-1.5,EC1_150cm,0.192
2020-05-26,-1.5,EC2_150cm,0.44077777777777777
2020-05-26,-1.5,EC3_150cm,0.17995833333333333
2020-05-26,-0.8,EC1_80cm,0.303
2020-05-26,-0.8,EC2_80cm,0.4575277777777778
2020-05-26,-0.8,EC3_80cm,0.26047916666666665
2020-05-26,-0.5,EC1_50cm,0.3747361111111111
2020-05-26,-0.5,EC2_50cm,0.2954861111111111
2020-05-26,-0.5,EC3_50cm,0.3978680555555556
2020-05-26,-0.15,EC1_15cm,0.24377777777777776
2020-05-26,-0.15,EC2_15cm,0.31305555555555553
2020-05-26,-0.15,EC3_15cm,0.3529722222222222
2020-05-27,-1.5,EC1_150cm,0.19195138888888888
2020-05-27,-1.5,EC2_150cm,0.43888194444444445
2020-05-27,-1.5,EC3_150cm,0.17945833333333333
2020-05-27,-0.8,EC1_80cm,0.30297916666666663
2020-05-27,-0.8,EC2_80cm,0.4578263888888889
2020-05-27,-0.8,EC3_80cm,0.2601875
2020-05-27,-0.5,EC1_50cm,0.37409027777777776
2020-05-27,-0.5,EC2_50cm,0.2949097222222222
2020-05-27,-0.5,EC3_50cm,0.39725
2020-05-27,-0.15,EC1_15cm,0.243
2020-05-27,-0.15,EC2_15cm,0.31202083333333336
2020-05-27,-0.15,EC3_15cm,0.3516319444444444
2020-05-28,-1.5,EC1_150cm,0.19131944444444446
2020-05-28,-1.5,EC2_150cm,0.42804166666666665
2020-05-28,-1.5,EC3_150cm,0.179
2020-05-28,-0.8,EC1_80cm,0.30217361111111113
2020-05-28,-0.8,EC2_80cm,0.4565763888888889
2020-05-28,-0.8,EC3_80cm,0.26025
2020-05-28,-0.5,EC1_50cm,0.37356944444444445
2020-05-28,-0.5,EC2_50cm,0.29409722222222223
2020-05-28,-0.5,EC3_50cm,0.3967777777777778
2020-05-28,-0.15,EC1_15cm,0.24262499999999998
2020-05-28,-0.15,EC2_15cm,0.31119444444444444
2020-05-28,-0.15,EC3_15cm,0.3507430555555555
2020-05-29,-1.5,EC1_150cm,0.191
2020-05-29,-1.5,EC2_150cm,0.42459027777777775
2020-05-29,-1.5,EC3_150cm,0.179
2020-05-29,-0.8,EC1_80cm,0.302
2020-05-29,-0.8,EC2_80cm,0.4554166666666667
2020-05-29,-0.8,EC3_80cm,0.26003472222222224
2020-05-29,-0.5,EC1_50cm,0.37298611111111113
2020-05-29,-0.5,EC2_50cm,0.29344444444444445
2020-05-29,-0.5,EC3_50cm,0.3961527777777778
2020-05-29,-0.15,EC1_15cm,0.242
2020-05-29,-0.15,EC2_15cm,0.31074305555555554
2020-05-29,-0.15,EC3_15cm,0.3489861111111111
2020-05-30,-1.5,EC1_150cm,0.191
2020-05-30,-1.5,EC2_150cm,0.4221736111111111
2020-05-30,-1.5,EC3_150cm,0.17822916666666666
2020-05-30,-0.8,EC1_80cm,0.302
2020-05-30,-0.8,EC2_80cm,0.454
2020-05-30,-0.8,EC3_80cm,0.25983333333333336
2020-05-30,-0.5,EC1_50cm,0.3726111111111111
2020-05-30,-0.5,EC2_50cm,0.29280555555555554
2020-05-30,-0.5,EC3_50cm,0.3955486111111111
2020-05-30,-0.15,EC1_15cm,0.24129861111111112
2020-05-30,-0.15,EC2_15cm,0.3100486111111111
2020-05-30,-0.15,EC3_15cm,0.34732638888888884
2020-05-31,-1.5,EC1_150cm,0.191
2020-05-31,-1.5,EC2_150cm,0.4199722222222222
2020-05-31,-1.5,EC3_150cm,0.178
2020-05-31,-0.8,EC1_80cm,0.302
2020-05-31,-0.8,EC2_80cm,0.4529236111111111
2020-05-31,-0.8,EC3_80cm,0.25943055555555555
2020-05-31,-0.5,EC1_50cm,0.372
2020-05-31,-0.5,EC2_50cm,0.2921944444444444
2020-05-31,-0.5,EC3_50cm,0.3948541666666667
2020-05-31,-0.15,EC1_15cm,0.241
2020-05-31,-0.15,EC2_15cm,0.30959722222222225
2020-05-31,-0.15,EC3_15cm,0.3458194444444444
2020-06-01,-1.5,EC1_150cm,0.19079166666666666
2020-06-01,-1.5,EC2_150cm,0.41770138888888886
2020-06-01,-1.5,EC3_150cm,0.178
2020-06-01,-0.8,EC1_80cm,0.302
2020-06-01,-0.8,EC2_80cm,0.45200694444444445
2020-06-01,-0.8,EC3_80cm,0.2589513888888889
2020-06-01,-0.5,EC1_50cm,0.3717152777777778
2020-06-01,-0.5,EC2_50cm,0.2917222222222222
2020-06-01,-0.5,EC3_50cm,0.3942361111111111
2020-06-01,-0.15,EC1_15cm,0.24054861111111112
2020-06-01,-0.15,EC2_15cm,0.30916666666666665
2020-06-01,-0.15,EC3_15cm,0.34365972222222224
2020-06-02,-1.5,EC1_150cm,0.19022916666666667
2020-06-02,-1.5,EC2_150cm,0.41504166666666664
2020-06-02,-1.5,EC3_150cm,0.17777083333333332
