scen,swc_nse15,swc_rmse15,swc_cor15,swc_nse50,swc_rmse50,swc_cor50,swc_nse80,swc_rmse80,swc_cor80,swp_nse15,swp_nse50,swp_nse80,et_cor,et_nse,max_ET
1348,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1349,-1.8386609272429082,0.023242729618305563,0.43707879928611443,-23.644675758434083,0.10120490875431465,0.5456945084293975,-344.5323673041065,0.1630722668903263,0.46351424706148703,-6.591084129869614,-1.9606383170454822,-0.44530199846613794,0.6901976183024021,-0.26733137243793004,5.568030056685646
1350,-163.79498746201656,0.17709339713958228,0.47941696096872755,-95.14609575778003,0.19989680374220564,0.6636849737072427,-894.2929088770293,0.2624933545364144,0.5199164266976065,-7.094582168149325,-1.811130582197122,-0.31885255198501317,0.702300975740876,-0.12176954749766722,5.006215401509712
1351,-9.697560473778292,0.045120379654479875,0.4487251538751346,-9.539524182567186,0.0661836211993513,0.5875486368947307,-210.0019352467674,0.12743213516290577,0.5202107191032782,-7.582062910927439,-1.301394145409549,-0.0300172462933459,0.6608973227419974,0.11109863463329195,4.858438356586884
1352,-2.7137924312402975,0.02658515419153771,0.4266568263458567,-52.53051920995877,0.1491560079262261,0.5648129444918434,-579.4301336008803,0.21135411908390453,0.46450214959418834,-6.651160283540343,-1.5343993317818052,-0.15984275374758505,0.6793553400463539,-0.1563637206672075,4.640627350063146
1353,-177.22583509715108,0.18416864773748004,0.5043994398859021,-16.58188138938278,0.08548161059035615,0.48115233291020043,-278.3729110661244,0.1466317059247079,0.4025611928203561,-6.979061571231992,-2.3952694952105102,-0.7810209734938467,0.6481556446409071,0.1593925257876604,4.817981698589044
1354,-23.201207702520183,0.06786547444847149,0.4264513462928597,-0.7583320791787234,0.02703276525065423,0.6055794640052048,-38.72006732768422,0.05528925380099711,0.5092547720602285,-7.26576284237683,-2.3722550254863775,-0.7762160509209433,0.6932196556654747,-0.9042664632229129,6.123881552556739
1355,-3.448599996848909,0.029096586937065256,0.3948610492956445,-31.39940268018271,0.11604021508311801,0.5010385592070811,-410.21844317633634,0.17789839623622228,0.4676762754899542,-7.56789409320149,-1.8698144170907431,-0.3917527704498005,0.6877497260984438,-0.11762527147611923,5.2732664514669825
1356,-63.74862062068003,0.1110057896428497,0.5397560628412051,-2.2350763503109796,0.03666758359195209,0.5282324626485604,-17.604756522973968,0.03783970448586273,0.49438713989069477,-7.778805855291658,-2.509094192108824,-0.8783381965436474,0.6552783105366601,0.1370813086753736,4.617693894284036
1357,-19.19795007328234,0.06199890472520386,0.6142070102089239,-93.75303930801462,0.19844337196425021,0.5655986867393092,-883.3549030704627,0.26088495510599746,0.5111386932434632,-5.005199213336156,-0.998292605032228,0.09766382998039747,0.6089164485286364,0.09578814791840984,4.5427589579737955
1358,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1359,-9.16587926039973,0.0439848225062806,0.3847955313547683,-3.146070302856571,0.04151053725192299,0.53826161120538,-128.83925360681394,0.09996287672990017,0.5007759969070789,-5.58923747214937,-2.0358919327668348,-0.4846499925508172,0.6888053324835833,-0.601777796115607,5.556944957513391
1360,-162.99479309308484,0.17666291808072834,0.6311672405986919,-9.99315335755301,0.06759291351186447,0.6016627463442555,-214.99977336284215,0.12893249544429966,0.5591026825068682,-7.564497974860805,-2.0795102258622635,-0.5135739042826146,0.6152715697552908,0.1341332860662896,4.030843123374387
1361,-194.69917572033205,0.19298558394256185,0.5606317170711628,-50.166976070352824,0.14582597839875358,0.5876379784036029,-553.5084948474495,0.2065807465243421,0.5368668619298331,-7.029572994649152,-1.9143860474091556,-0.4223619880019738,0.6660127177983202,0.16929750740351068,4.573238554903192
1362,-29.39640300223809,0.07605739859141156,0.4070599779414814,-78.54301424875644,0.18181974548930507,0.6672362533646037,-768.0445079197245,0.24328284065716774,0.5225374236665691,-1349.8339162529403,-1854.0641910115876,-1020.3487123569174,0.6486260441144217,-3.733692207424567,7.074686391415847
1363,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1364,-4.67146195869776,0.03285321545424928,0.5476521980902892,-51.33276641153148,0.14747787451230077,0.5958444224221109,-571.4197317241931,0.20989062391846403,0.5122741771454691,-5.87275021674463,-1.6361467982379234,-0.24496059663762026,0.6852692633960115,-0.15580885644807596,5.321175254069729
1365,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1366,-17.203956446177816,0.05885905214372466,0.48888063023072886,-58.309212583804495,0.157000524185268,0.6417016033471796,-612.3470102628271,0.21726454828950403,0.5679615480992442,-5.638511461176651,-1.4991484092695875,-0.14981225521383923,0.6856877293850936,-0.9052398983333512,5.920751990484238
1367,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1368,-2.2054821305373262,0.024698868063620996,0.48939814764511635,-20.310309556709147,0.09410981127883507,0.5329293807446839,-27.955110899838562,0.04720612553343914,0.4550789859440468,-7.263014892211492,-2.3206677957224575,-0.640488012870527,0.7052447899039077,-0.6954270376776148,5.575737563081052
1369,-4.163528868552576,0.031347555131417466,0.5754879213694892,-3.739543110748822,0.044382142377218194,0.6224802933276341,-138.78606903284216,0.10372123678160369,0.5430282119000135,-6.457699322241064,-1.934339437772798,-0.41057958782712434,0.674269292538216,-0.023484304989033422,5.376749091982081
1370,-92.94860133310702,0.1337135839933463,0.34523847967920895,-76.54971601411118,0.1795271469859183,0.4131051053598372,-757.0335635215774,0.24153493690578587,0.2734047640444651,-6.643299090988352,-2.012944161036206,-0.6664518621737694,0.6755961370890224,-2.378561239162641,6.866409879262546
1371,-14.220545573708774,0.05382022140601447,0.5506593582561342,-66.01839462437061,0.16689258193798717,0.6993835697630824,-668.0213435233637,0.22691109270510212,0.6002921811516709,-4.356505797703066,-0.5365884114946333,-1.4878930057870718,0.6918243852605396,-0.7807672959858911,5.7197871220618905
1372,-27.28066798686183,0.07336268230771296,0.5461771599591532,-29.03043536629716,0.11171740456067046,0.48338921427421483,-37.632416033302086,0.054527008944457556,0.4276584519144702,-6.971579938298051,-2.1643519640773308,-0.6508478122060544,0.5731380487040239,-0.036295692941473945,4.366978402141291
1373,-16.31179213214855,0.05739861120609453,0.3965862316225481,-8.019480249274803,0.06122527990386081,0.4570336130386409,-38.97643624976091,0.055467396097893584,0.4281005175864238,-6.834048129383761,-2.2672715714013774,-0.7010820652116712,0.7008081670199521,-0.8218321072629626,5.403590735245599
1374,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1375,-5.6140372774489204,0.03547837250586446,0.31870489737854674,-31.819266109192633,0.11678967663631562,0.26777083571308974,-367.13180582212067,0.16832065451662453,0.312303616852806,-7.470685626530681,-1.355432098019545,-3.367267606581998,0.6816238691206091,-0.4653489775805213,5.373942118826716
1376,-0.7632729990318337,0.018318510119451518,0.5500858515448029,-47.33618933124047,0.14173471274143123,0.5065547107342488,-538.2100065561024,0.2037111085946404,0.427604317380357,-7.1108186927367,-2.3361602084349857,-0.7329435044263986,0.6792806882768684,0.20383064636715442,4.516524084215476
1377,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1378,-35.41878006429691,0.08325169166971536,0.4177244755588538,-38.04142386180438,0.12738047013408915,0.5799039905645585,-460.2113666518384,0.1884021010224842,0.4325737820213312,-130.9197678000185,-327.57802644689497,-654.602927045643,0.6776529779665139,-4.054757506397282,7.569308884350463
1379,-6.956409460019188,0.03891248198918118,0.5380371473321877,-1.8378953230092439,0.03434299838671425,0.49070791223963267,-35.17199422587527,0.05276208716483823,0.41783542057786643,-7.026301679422412,-2.445714195224134,-0.8212509411639126,0.5908299611177039,0.057874380182034835,4.134690100639869
1380,-292.83222847458904,0.236472196062305,0.5261642689512642,-0.8497811678888254,0.027726828755785235,0.544514261809859,-88.33255718013766,0.08291643544886892,0.5157647948380082,-7.580967093830985,-2.5379633693659813,-0.8975143138928119,0.669903207804303,0.08441744926906647,4.882705357221988
1381,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1382,-69.83525735690844,0.11610611893320014,0.5179499900283595,-41.6293631873889,0.13310502331894827,0.520648881812222,-494.06851991486474,0.1951948685716858,0.45958963335150527,-6.638636341976125,-1.3749247489668952,-0.3493584304410209,0.691615456919782,0.14361691627235285,4.93388915858934
1383,-1.1024937131959232,0.020003119205132498,0.5422791607406373,-23.17995389143708,0.10024616273631191,0.5157301336216207,-339.8186301254872,0.16195613495915087,0.4660523690473742,-7.199316099353149,-2.391827968571089,-0.7772975956615822,0.6204211902815939,0.07947131415854636,4.7082703715764165
1384,-19.143545912987957,0.061915349890768044,0.41143871851272945,-1.0602056731749094,0.029261414268050776,0.5197978268981905,-82.32482290109628,0.08007979270822202,0.4651628979715108,-7.17177169418926,-2.365705960496559,-0.7534280965063045,0.6585458556950082,0.04103510325238113,4.795241597872039
1385,-70.90157909091455,0.11697675896038862,0.5432130507822366,-68.84358137910633,0.17037398189958952,0.631974797809769,-703.5638877374263,0.23286055622484528,0.6036513967041109,-6.908211465350258,-0.8861773031684053,0.21718823549489674,0.6709613695216591,0.004670036367742991,4.616638496513565
1386,-58.63475659189483,0.10653200372779646,0.44825711791075473,-53.42669239039339,0.15039936216665487,0.6897995867196436,-588.6911631963803,0.21303357254463406,0.5621395669972686,-4.244573175422585,-0.8186102120736178,-0.8788361118917745,0.6985061941929832,-1.2445134143259144,6.133039245631775
1387,-1.264932408360833,0.02076146488462183,0.3615636706038739,-28.93264222392103,0.11153535417053484,0.484288810372678,-389.1512255738942,0.17328151182600646,0.4401222318507259,-6.970365833797846,-2.3977351406664424,-0.7832205143207773,0.673982179163914,0.02546133692753294,5.0204182286120655
1388,-35.31813702455162,0.08313657935770516,0.4185565286563385,-172.10227379954884,0.26822015530078724,0.6279632085868994,-1423.3927278264982,0.33109346927461436,0.523149849858358,-7.112698779435135,-428.26410527838533,-843.104987619697,0.6800846136038287,-2.21977352843986,6.048855745259072
1389,-64.7153027446722,0.11183136519393728,0.5404421818929468,-12.190027502077871,0.07403939713581137,0.5572731330905933,-233.3849941233636,0.13430761666765484,0.4628503410789505,-5.627105173731608,-1.1210408329789052,0.028128242992614294,0.5384097257330714,-0.1631268576368352,4.4427509793137805
1390,-94.32785690234292,0.13469152960194042,0.2903376093958364,-0.1601079451460623,0.02195782016523156,0.7207777237022456,-44.130799127270244,0.058934859488883856,0.5958221342114901,-6.740131896699683,-2.440624396240414,-0.8100335003238133,0.6682949205566073,-1.1023422369617695,6.342897047885327
1391,-221.53310606023663,0.20579161954354486,0.5598402633934763,-10.497633117194486,0.06912644878282648,0.5441159704772884,-5.112980675215373,0.021690134849333315,0.4984439933543982,-7.58219114708225,-2.377566598741008,-0.7703409399011825,0.636131527873551,0.15887538393336142,4.346587934315099
1392,-37.7456031902202,0.08587002380875554,0.46757044033521983,-3.617245350500702,0.04380578826218755,0.5405130944278904,-74.97517435508026,0.07646656709735652,0.5468589917264219,-7.140116872936785,-2.269054849099921,-0.7297800938309449,0.688129837608339,-0.030612039789228218,5.252231294819618
1393,-76.38421269774885,0.1213546869750911,0.47431242904953114,-23.88782485986404,0.10170293688682665,0.461924413884677,-23.753441261231284,0.04364691295710635,0.39481418763662524,-7.607358183482958,-2.615160504062248,-0.9762365311980947,0.5805553198650426,0.017620891524376292,4.08121021858139
1394,-23.50751688780531,0.06829360296928322,0.3971763268893523,-55.39320641551113,0.15309232460188518,0.5122647729177685,-594.5567084204439,0.2140904530029116,0.4395927523864824,-6.632577120139102,-33.0111244114835,-66.62088305931789,0.6968415591533773,-1.334464874213272,6.111285883524113
1395,-158.56074548021408,0.17425827013965597,0.5538536629204159,-0.5774100649975056,0.02560426580772117,0.6239579220200623,-89.51738918555274,0.0834644911750404,0.572155665498598,-7.722088892948127,-2.602136652166323,-0.9508708822014669,0.6613024181038916,0.08425499111863965,4.7002277812790645
1396,-16.164573525516566,0.057154032678549384,0.3732610763328211,-54.66488248905434,0.15210051047374,0.43715519355322807,-589.1239742150302,0.213111737498655,0.33872517010186376,-20.195775078383296,-599.8879223703485,-1209.8749142367835,0.6644322360409365,-1.9675601490860184,6.046068495944352
1397,-47.964582132276675,0.09653202049072183,0.42482072460684756,-51.32883457391999,0.1474723342935673,0.62794839907939,-497.0843025767668,0.19578849502092358,0.4662674369026844,-206.94361135924308,-47.04742008015766,-30.284826524589917,0.6943245871127409,-3.319490045439763,7.440188483172149
1398,-90.04557759169239,0.13163149015938463,0.5702404552292352,-65.17381418202493,0.1658376393669033,0.6902273668131056,-677.3082511019104,0.22848057897564578,0.5739936515312507,-12.373767203073125,-1.3159268889457727,-3.868867858533518,0.7128159383526749,-0.6654405999638453,5.237992004354687
1399,-260.17351881004555,0.22294356440725735,0.41425695468316,-12.061016628989476,0.07367641992428296,0.4553243043550124,-233.34061995855004,0.1342949023929078,0.40869259444478895,-7.082566958511514,-2.6233735745566213,-0.9713347203585165,0.626042410770462,0.08843756222809918,4.730102729790679
1400,-22.847277103261693,0.06736739734134763,0.3070814427061362,-37.334637443147976,0.1262221877765315,0.6681260867291612,-461.85181354811544,0.1887368600188421,0.5203237609107296,-45.48446261271485,-1.7023937143267047,-0.2382710604219309,0.6780628285695797,-1.6597351402641674,6.277978600720443
1401,-71.43420583395647,0.11740922506141684,0.5616484966354652,-8.44844801829885,0.0626643100541977,0.49223468921661473,-50.328774024678935,0.06285157806154405,0.5226791693057312,-7.507020372200376,-2.471046179317922,-0.9420940662065203,0.5945839577155285,0.06993292167096221,4.26314634353322
1402,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1403,-93.43996863247138,0.13406280046297872,0.40532834625982794,-63.99922522057676,0.16435923579627618,0.5501007659290104,-647.9332530833357,0.22347850386703283,0.45104506978921466,-24.861941553446453,-1.6190328396401439,-0.3294800345686042,0.6755209285274051,-1.3350854934419765,5.94736421186262
1404,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1405,-107.81838360739101,0.1439068627501629,0.3389881156217075,-2.0260238320694364,0.035463059062819956,0.6727710436088543,-107.97267736322519,0.09157871624305255,0.5413231270675091,-6.908421045444724,-2.5812040523311235,-0.9273510263429838,0.7068993849220309,-1.6249395774125408,6.076830101932523
1406,-11.00593433078624,0.04780005011154875,0.38662837406836337,-77.19470075929586,0.18027216908691096,0.6813767838326955,-729.0101626111298,0.23702829560906977,0.5710149950170064,-5.769199386195654,-4.208053933102108,-1.681703244103724,0.6850568252541446,-2.3505851971312604,6.069555115735929
1407,-79.20575032350968,0.12354726141014802,0.5849070516853766,-17.23798481744526,0.08706196163701305,0.5451126538623027,-10.640161581421967,0.029930587743289733,0.5171681634259733,-7.433819679463069,-2.4964629064012938,-0.8605448518207137,0.6535446817037478,0.03765765787879416,4.7538744144876555
1408,-47.1050059933728,0.09568095616344179,0.4141174188663597,-2.002065916821919,0.03532239438611052,0.5192372623243015,-113.09880187389132,0.09370791666113289,0.48277054079365456,-7.80774234890214,-2.5931455765033276,-0.940027550291749,0.6860622808137771,-0.2700763215597146,5.322898709481645
1409,-35.40663088620371,0.08323780427433684,0.657176367415884,-3.994318338117097,0.04555941445541667,0.5750911124339907,-95.05825650626485,0.08598111852041343,0.5551626795788305,-6.4940467741854775,-1.6293578586802293,-0.22605831861209036,0.5028021290402046,-0.24946395392925358,4.301415434323753
1410,-83.529070050303,0.12683333604713604,0.40412671621679325,-7.431753627440562,0.05919690177679059,0.4697378299830801,-17.266950370153502,0.037494603473144324,0.40346612729302694,-7.585638316766804,-2.5216830233658345,-0.8861905188158337,0.6175727963903358,0.12241577603932607,4.239706327748084
