scen,swc_nse15,rmse_nse15,swc_nse50,rmse_nse50,swc_nse80,rmse_nse80,swc_nse150,rmse_nse150,swp_nse15,swp_nse50,swp_nse80,swp_nse150,et_cor,et_nse,max_ET,ann_ET
11,-169.12276676318254,0.16200526712010116,-194.11214134630447,0.22705957600741378,-47.48894633322734,0.18028624702280946,-11.277129718674983,0.1366785803335708,-232.25395423986402,-367.7770761555306,-730.4519465873635,-346.32163281341025,0.6786833211673914,-3.849522765627265,7.687304102527303,592.8195377260129
12,-8.509635228028362,0.0383027402429035,-20.628436583768938,0.07559798826294156,-0.975698891215113,0.03639163791743085,-1.3943226584400574,0.06035918604753469,-6.667305106273473,-2.1747512596975604,-0.677431291382498,-0.18208990145842718,0.6997619260693306,-0.8362777565608812,5.827898727345945,442.9879769390716
13,-102.93121230417535,0.12662542398856427,-68.75880336711478,0.13576792669977514,-11.023491413921379,0.08977522939535663,-1.718067841789947,0.06431054396792323,-126.93500485768966,-44.768586977960915,-90.83849200925799,-0.10141502519881684,0.681722060728309,-2.743911682421801,7.082156333298335,538.7934522097203
14,-143.7907560618534,0.14945771352526974,-6.548026223287652,0.044659553326869925,-10.864890164489278,0.08918115359691349,-11.206176111169306,0.1362830525938325,-6.911860463669282,-1.9866193482804033,-0.5381344743436303,-0.0648738021302031,0.6162432674489637,-0.1344766014577925,5.310686140539097,334.3228945830868
15,-9.003021531375332,0.03928380239476241,-30.95481675330718,0.09188948988704622,-25.403521769237965,0.13303691141421836,-12.99357300516812,0.14592051233849243,-6.756207513653608,-2.0824411883878766,-0.46544211894580223,-0.22827731018147235,0.7022949657996747,-1.2665085401689913,6.480469524109711,464.9920886790353
16,-7.285680127906055,0.035752959551105884,-60.8619510798833,0.12785257564606556,-8.891757910692004,0.08142878677737062,-1.66299569827728,0.0636556957564108,-7.1615088080810825,-2.1625498036030453,-0.5797126794789802,-0.02568211830898992,0.6420427677618656,0.08865625496001439,4.6743780471909915,303.50694421959844
17,-9.958531476377617,0.041117253329159206,-28.022474184274138,0.08757192403909367,-1.6545498240734626,0.04218292252395646,0.17543914749536615,0.03542121001390288,-5.9925292347694485,-1.4526830727026745,-0.10842263009169884,0.016193330500186787,0.6691372771096397,-0.27442334493804776,5.810479616974837,382.24612861922157
18,-29.771725045965912,0.06890073227470503,-200.02457348512613,0.2304741646572405,-50.515323153298354,0.18582726669224547,-19.342674909709395,0.1759365478989224,-34.82901611783609,-437.84192694306574,-782.9659217765552,-666.8161248994163,0.6854721359287173,-3.2124591564875304,7.302322395184193,565.983436317622
19,-18.62909765046348,0.055029818922351204,-83.33891070738092,0.14928345186299136,-13.953110811444299,0.1001168093659678,-1.4026169187789654,0.06046364189096301,-6.9250328118218425,-1.7507548586451915,-0.30326860692294666,0.005905782655411418,0.6948793434736759,-1.2186703022738783,5.474156807854135,473.7326320389901
20,-37.44555997171749,0.07701423599513112,-220.3387858213473,0.24183905465446207,-55.311995689781845,0.19428607926196784,-19.15837210258926,0.17513774986369524,-74.04117617404088,-36.55822564746708,-74.15351064294633,0.004700616073512909,0.665557579243414,-3.44058878149235,7.374175100257212,555.5759400595304
21,-45.78727081794148,0.08495946567131947,-21.36897093811823,0.07688129278623711,-1.7708504384828991,0.04309707216674016,-0.4197253505405816,0.04647872494045764,-63.63833665550865,-1.6394121691139758,-0.13337717757392764,0.1033074074562006,0.66766664054616,-4.561857860579766,7.43113441081626,606.51232678928
22,-53.94824358521177,0.09207141621313081,-95.34494651289506,0.15955563432949965,-17.893514846381624,0.1125375884085528,-5.051438354673605,0.09595803447575321,-44.07189020070068,-0.6955142098040468,-0.8845429451717379,-2.210326792175924,0.6869603292273988,-1.22231758846707,6.092505228004901,452.58362061110324
23,-144.38289381240574,0.14976301359784136,-3.114069348873474,0.03297110321882899,-2.832555476245487,0.05068570011399332,-7.011941618370116,0.11041318171833135,-23.551928494290166,-1.6569191419149414,-0.46837519440689546,-0.08569525425412916,0.6424594126420224,-2.6337215122065523,6.373986543702523,534.1756312966639
