scen,twd_pd_cor,twd_md_cor,min_pd_psi,min_md_psi,plfl_mean,plfl_max
945,-0.6386487792883513,-0.6476607836405948,-1656.7505263711112,-1656.7974531388252,0.2805516326438009,1.9796484766899145
946,-0.65326576824441,-0.6730571102437649,-1341.9034603693094,-1341.9038607568077,0.31125025728857003,2.2738764296894662
947,-0.6505094480731566,-0.6608056617702847,-1638.8311437716918,-1638.854840499682,0.2437492724063222,1.8671591959174962
948,-0.671114721627642,-0.6952245590383742,-1241.9042605173825,-1241.9043410850813,0.2517859015453095,1.9518696436418514
949,-0.6379770595011341,-0.6807779336519041,-1642.1900525706592,-1642.2255583554982,0.39784014224913045,2.911256126512251
950,-0.6588019361494799,-0.6904966155250097,-1116.7613636363642,-1116.7613636363644,0.30182736490835166,2.572813201433178
951,-0.6599205600367143,-0.7205966668793249,-1146.8037692178477,-1149.069365980759,0.3398137131232533,2.2760110559341937
952,-0.6546981198134835,-0.7010748033690974,-1307.4993743902908,-1307.4993743902908,0.2570251002780935,1.9545739082938676
953,-0.6495782683026858,-0.6720595133640164,-844.365335409947,-844.365335409947,0.18193700677444324,1.3845771412264898
954,-0.6256258131820142,-0.6888536039737744,-1769.2015037748397,-1774.0861543886413,0.4766785869665731,2.9113682254848805
955,-0.6803828940861006,-0.7296875751637067,-831.7411402157177,-831.7411402157178,0.2862256576351332,1.8993822393146234
956,-0.6401763574834473,-0.6597240692119122,-1597.904336055611,-1597.9043852738976,0.3256587130782576,2.7602459743923164
957,-0.6709749629171541,-0.6866867535738418,-1152.839909425861,-1152.8601035790707,0.24587559162741868,1.608633463143711
958,-0.6725770443195013,-0.6890398142759933,-1205.8709470641775,-1205.8820502138462,0.23230836442953534,1.5743650719332036
959,-0.6347314237737935,-0.7661064254558115,-973.498851946358,-992.0233500113233,0.42841850803777287,2.066382789870217
960,-0.6762692693260278,-0.740492455260521,-940.4662874357458,-942.6753987988899,0.3129159986222768,1.8019874709904946
961,-0.6356600053791305,-0.6517638840881698,-1660.9024299639036,-1660.9032262453507,0.3259219286178953,2.670022419142522
962,-0.678567990064989,-0.7105580339427714,-1057.9044499994272,-1057.9044499998174,0.2892980304454944,2.069302616424152
963,-0.6615247087866973,-0.6878841885117878,-1393.9044499994002,-1393.904449999696,0.27704462048864925,2.3430247414250305
964,-0.6469903048768889,-0.7055529548997388,-1323.4727322079207,-1325.1768347626783,0.29276312349641076,2.133549086954844
965,-0.6717063501337396,-0.7160592330064458,-1109.9799641140094,-1109.9799641140094,0.28359974666330995,1.9794991070394032
966,-0.6181641191869082,-0.6848530822883483,-1889.4584772361763,-1894.97177111714,0.46740874137587113,2.9114446009338244
967,-0.6675512229259983,-0.6874391355196173,-1247.9016873655166,-1247.902751678204,0.26542106035306856,1.9890668813102557
968,-0.6635965272679712,-0.6936173743316891,-1343.6042287506773,-1343.6042287506773,0.26688372575102015,2.1738865362834736
969,-0.6862913619861815,-0.7336093934606953,-936.6627155922977,-936.689536511694,0.26867908355837683,1.6308354250991952
970,-0.681998116758026,-0.7227135988122587,-669.2522118531091,-669.2522118531091,0.20780625940535452,1.4390188513034565
971,-0.6464540013574749,-0.6769673622863592,-1382.9291044776155,-1382.9291044776155,0.27219870283817055,2.4183171695518952
972,-0.6771136715402282,-0.7021758916311709,-1068.9034864262162,-1068.903880265251,0.275407249647676,1.9082641397160345
973,-0.6450235237688227,-0.6843224080699843,-1564.9637342195697,-1566.337982859689,0.2814255267870258,2.4742876612983955
974,-0.6761273548535229,-0.7199730087406517,-831.4222146157806,-831.4222146157806,0.24105161955717627,1.6671014276864924
975,-0.6835126708292258,-0.7075449000684347,-1079.898272178139,-1079.9005534231644,0.20498989344532145,1.2754149580951046
976,-0.678070026601058,-0.7042456055727663,-1141.9038985125815,-1141.904126313077,0.2279192171352861,1.5794001751246058
977,-0.6648107955409877,-0.6996469361002249,-1021.3296398892,-1021.3296398892,0.2964453965467126,2.4098784825268496
978,-0.6900646288117781,-0.7193416258308811,-954.9022593081426,-954.9031534909359,0.24152639170453027,1.4587495560079482
979,-0.616435208027079,-0.6897102554433082,-1849.5864118509649,-1855.2043413395654,0.4433878954800846,2.763024518470506
980,-0.6669233522065149,-0.6999496347173655,-941.4731254147323,-941.4731254147323,0.2639464207448299,2.0969851478123727
981,-0.6384541959367115,-0.6521521484336757,-1632.8885277496997,-1632.8941952791718,0.30488869190467377,2.435716427907171
982,-0.6782521662640981,-0.7135007639233174,-684.460949286296,-684.460949286296,0.19238239221201558,1.2667051231519078
983,-0.6206490768781593,-0.6973857943018109,-1710.7535139446018,-1716.3002421287827,0.45291246009534847,2.710124320535487
984,-0.6871661653293024,-0.7244187388478849,-970.9044484418699,-970.9044492119654,0.255584668147844,1.6344662877222775
985,-0.6321458119555368,-0.6466426130603039,-1506.5033463821226,-1506.5033463821226,0.29781346806566295,2.2780670155329
986,-0.678414599126017,-0.7213719064468634,-970.516370744421,-970.5163707444215,0.2848238379505345,1.947253202609469
987,-0.6246578727482694,-0.629972792029516,-1903.3744357477094,-1903.521746768134,0.2871044141273052,2.124227273116459
988,-0.6662500155259776,-0.6989157635489042,-1247.9203029949301,-1247.9203029949301,0.3089387097975248,2.4741122258250314
989,-0.6603867356932416,-0.7056688014614615,-1072.6176115802248,-1072.6176115802248,0.25231553404985624,1.7300688932652246
990,-0.6903086358303209,-0.722560023677161,-965.9029514303702,-965.903577306954,0.2121753117318404,1.244529703331217
991,-0.6703827696745686,-0.6817898666019614,-1270.7209176772494,-1270.7738000211966,0.21057298595114665,1.3708817571444134
992,-0.6469080421485831,-0.6654707678268512,-1525.220575994674,-1525.220575994674,0.2781280315954198,2.3315965053260035
993,-0.671635313344083,-0.6957173529276244,-1267.9040302060123,-1267.9042030025,0.2053210722087461,1.4723123926363073
994,-0.6664210070093257,-0.7088280238687161,-1187.2100092192188,-1187.2100092192188,0.2728317100540719,1.966045777480147
995,-0.6553909131675623,-0.6927251400789458,-1208.9389534883749,-1208.9389534883749,0.3164760705673576,2.6159815601410106
996,-0.673460405459173,-0.7052491297401625,-746.7939972714884,-746.7939972714884,0.17914799474124318,1.2358225629703752
997,-0.6515425532770714,-0.694020369929757,-1415.2429168270141,-1416.4470670557052,0.309262106368087,2.5618538970994815
998,-0.6720100894821759,-0.6915753928117688,-1127.8923112468678,-1127.8966086177827,0.26489089061399224,1.8263752313484707
999,-0.6787108129472554,-0.6956021990404883,-1142.852932171025,-1142.8693769499275,0.2108897057437687,1.3241840478499824
1000,-0.6323685442194003,-0.6389071403641895,-1784.5582917067738,-1784.6570236554383,0.2778961803302542,2.0019252365444107
1001,-0.6591817394945663,-0.6788219228590521,-1414.903738714249,-1414.9040281476334,0.270535316101627,2.146075850794348
1002,-0.6317503116757721,-0.6383422714345873,-1683.546374142475,-1683.6470244454933,0.2856339995839566,1.9621444623224629
1003,-0.6845120528605326,-0.7364648753183026,-704.2801556420235,-704.2801556420235,0.25155015850601775,1.5793766938410134
1004,-0.6264400302011771,-0.6690177296272162,-1909.2057461732288,-1909.2057461732288,0.3503358849339159,2.806875867339238
1005,-0.65199334997702,-0.6820387803636816,-1537.557886809597,-1537.557886809597,0.26985579821017264,2.41519033091705
1006,-0.6302218599946515,-0.6483558640282037,-1922.9044495985033,-1922.9044497880188,0.3431175921605285,2.912916472469231
1007,-0.6465486433260759,-0.6830649376447946,-1558.9056467133216,-1559.6624300849198,0.3273717602516604,2.8257589615553615
