scen,twd_pd_cor,lwp_pd_cor,twd_md_cor,lwp_md_cor,min_pd_psi,min_md_psi,plfl_mean,plfl_max
3203,-0.7358916744527076,0.6395347169958305,-0.782085605523158,0.8036434813378055,-1605.400284225486,-1605.400284225486,0.2644138832406423,1.9452751548460614
3204,-0.6922424140013641,0.6418647255781226,-0.6733553264256608,0.7014904163291534,-1405.0764050764071,-1405.0764050764071,0.0966633699537882,0.4941241997814185
3205,-0.5988309480301459,0.4657420185382994,-0.6033278627081596,0.6174435170403132,-8962.684973734233,-8962.684973734233,0.9064215957517058,4.301192518895059
3206,-0.7410896789098086,0.6317722453619606,-0.7795865739614537,0.8022735862937465,-2612.948986219785,-2643.3224320330437,0.928068015067764,4.174175316416943
3207,-0.7239680107709558,0.6245166545263604,-0.753676896419844,0.7796322252026766,-1875.9936406995296,-1875.9936406995296,0.483361782018065,3.5838118201678237
3208,-0.7509916613504811,0.6492466732930176,-0.7799544362469837,0.8060950396241833,-2614.730244011649,-2614.730244011649,0.5583485311030284,3.6163409054222364
3209,-0.7185030381684059,0.6250424996562465,-0.7771254325882687,0.7949949656895168,-1027.4483226025084,-1027.4483226025084,0.4762943235567657,2.444182172364568
3210,-0.7528100682280058,0.7003371111087047,-0.8031104741317056,0.8255609209454815,-1517.0939202293648,-1517.2508874998903,0.04133368924231309,0.2746378134957961
3211,-0.7374447268863384,0.6380575474461497,-0.7639993751451615,0.7920525073154439,-2450.98039215687,-2450.98039215687,0.5140961051666811,3.2390814540859787
3212,-0.7315164731691104,0.6924849771575009,-0.7594808010156366,0.7839029387109594,-1439.2420785520576,-1440.4909590675563,0.03739365321983826,0.19245634174468276
3213,-0.7294276734364376,0.6284187180758901,-0.7604243563842823,0.7866289342383305,-1990.7407407407406,-1990.7407407407406,0.5346685077133182,3.838506926892076
3214,-0.7459673738228392,0.6989819262061994,-0.7885669382406062,0.8119230282174255,-1525.838108645544,-1526.5816629586923,0.06285729471892056,0.3677506913598528
3215,-0.7327426096731924,0.630808201489409,-0.7693931993320426,0.7940963923755516,-1848.3475479744136,-1848.3475479744136,0.5460369371983423,3.5699638013405215
3216,-0.6718598027619871,0.5960877436668303,-0.6819511452929294,0.709076874316642,-1359.5131473188671,-1359.5131473188671,0.17716370491247985,1.2546487798712382
3217,-0.6659092835319232,0.5761977453532311,-0.7335299473936392,0.7500305226071298,-508.10696988839817,-508.10696988839817,0.1438305074159982,0.6280965134599477
3218,-0.69036547165343,0.6056707104699609,-0.7289259265577502,0.7512395188391225,-1153.9466806063815,-1153.9466806063815,0.17978481096159973,1.6797642880310824
3219,-0.7561890651790502,0.675746683009831,-0.8062565443628313,0.8273678075087397,-1516.9499958363347,-1516.9501098178644,0.19277315081762506,1.1747087328201038
3220,-0.7269545663357381,0.6344828747071489,-0.7786313030783408,0.8052892860876057,-4896.726811767759,-4937.487000946865,0.5936346849651305,3.989395047532264
3221,-0.753363333035024,0.6659042255800743,-0.7749823082104651,0.803267555017102,-2740.9473669992453,-2740.9489027890645,0.32390867703428844,2.5314484759883973
3222,-0.7164996774993911,0.6232770250585519,-0.7646524852772336,0.7838389091874606,-1198.1305950500273,-1198.1305950500273,0.28906243194024006,2.244702426344151
3223,-0.7456977496203209,0.6439830719459507,-0.7909538965681296,0.8110693043913006,-1585.0453080430254,-1700.9904108747503,0.6385574702712282,2.678692724566037
3224,-0.7624431306479204,0.6943365216584293,-0.7929863999788153,0.8192991388827288,-2484.315167411582,-2484.920112041496,0.13997202296927552,1.0921714867021466
3225,-0.7554065547027952,0.6595124732334301,-0.7920600824328283,0.8171992255013342,-2263.5772127574405,-2269.788829612744,0.40665729423757874,2.732698782045643
3226,-0.7613410681853633,0.6747148749633952,-0.7850809027865643,0.812542930968911,-2908.9489123817707,-2908.9495762377614,0.2576368555204119,2.1869012168309028
3227,-0.6992313336864588,0.611306825733671,-0.7646445331451738,0.7821297717550486,-744.7591026112533,-744.7591026112533,0.3701140133895974,1.5444323501327686
3228,-0.7400746530872887,0.633999812089046,-0.7900838077299372,0.8106393567522029,-1570.2479338842982,-1570.2479338842982,0.1337703118004308,0.5713462347489533
3229,-0.7169013931704976,0.6246896142244447,-0.7313380616574022,0.7586224015809884,-2136.383731211322,-2136.383731211322,0.4498631674955433,3.4655776628165267
3230,-0.758288524088378,0.6731455735071806,-0.772680542086698,0.8007081579241494,-3169.9455669482995,-3169.9469735287844,0.29598034281411867,2.6341457098872922
3231,-0.40945004186714307,0.30855286833006823,-0.4328438025195446,0.4329248381294169,-11002.448701596888,-11002.448701596888,0.8842828018505958,3.945478104392637
3232,-0.7560715688978842,0.6896445621749733,-0.8037100334662264,0.8258716103878937,-1554.8699401069516,-1554.9057341888035,0.13342278467582389,0.8198458757326847
3233,-0.7220193390042131,0.6238174164865786,-0.7577018939164272,0.7833709634833396,-1724.5619428220145,-1724.5619428220145,0.5105949319670073,3.2654735045622436
3234,-0.7207415773791914,0.622299798899071,-0.7581986222948641,0.7822784348034989,-1588.7459470766673,-1588.7459470766673,0.4645027396449707,3.192089473549405
3235,-0.5983285399934093,0.5242240439569487,-0.642658052452884,0.6563556651400018,-296.63105998356605,-296.63105998356605,0.24485513152496466,0.8706218525307846
3236,-0.7072945725278978,0.6021951213043014,-0.7482207033196139,0.7707204448416594,-3562.984353882457,-3769.7422257503486,0.8264356344844587,4.30127587958114
3237,-0.7469346218005571,0.6512498784595998,-0.7659176834792363,0.7939751212406928,-3024.4022964990127,-3024.525591726597,0.5602090547001686,3.8254575720057185
3238,-0.7439054116094664,0.6404296441929221,-0.7865708282760937,0.8062371899225005,-1585.8114433139888,-1729.3979378931617,0.6716417568381093,3.008518780746257
3239,-0.6708094270372484,0.5703724683883223,-0.6959922332649146,0.7217450505584738,-7173.879818918728,-7173.879818918728,0.8276641366111142,4.3599886954555
3240,-0.7555464377516371,0.7024876577077778,-0.7847876914109172,0.810641358703936,-2306.8931038123255,-2307.313376652336,0.08761245254785574,0.527691280794301
3241,-0.7357778017702475,0.6585538164000774,-0.7887551442301809,0.8136780993762083,-5761.968671546971,-5810.179744628464,1.0584915256707796,4.336712536219477
3242,-0.7190307278071533,0.6262554772107601,-0.7789153328575483,0.7974256425347068,-1008.0945442771583,-1008.0945442771583,0.377325336897999,1.9362839241809864
3243,-0.7081674482649256,0.6189351232504987,-0.750902362191135,0.7709348645629948,-1201.032644903403,-1201.032644903403,0.18718744919191868,1.9654160697554752
3244,-0.6834901886424047,0.5787677837098716,-0.712438910061532,0.7374806796922025,-6519.507726176042,-6519.507726176042,0.9559872197850872,4.359848045748888
3245,-0.7246629425280485,0.6271413883662199,-0.7502513600063224,0.7776654963291716,-2080.2919708029267,-2080.2919708029267,0.4933872361063697,3.693311748842926
3246,-0.6251098186470695,0.5499689045652475,-0.6964931197302756,0.711824002916933,-400.2790897380856,-400.2790897380856,0.12278659790774578,0.613485410736634
