DRAIN,INFEXP,IDEPTH_m,RSSA,ths1,thr1,ksat1,alpha1,npar1,ths2,thr2,ksat2,alpha2,npar2,ths3,thr3,ksat3,alpha3,npar3,ths4,thr4,ksat4,alpha4,npar4,ths5,thr5,ksat5,alpha5,npar5,CINTRL,FRINTLAI,GLMAX,CVPD,R5,T1,T2,PSICR,FXYLEM,MXKPL,MXRTLN
0.7363250000000001,0.0855675,0.38568125,579.3105,0.47421,0.01378125,-0.107825,0.9754125,1.17079125,0.4683225,0.026396000000000003,0.31757500000000005,1.4713250000000002,1.16737875,0.524495,0.06787675,0.3975800000000001,1.402325,1.2321475,0.51491,0.1599335,0.03822499999999998,1.1155000000000002,1.236146,0.5767074999999999,0.12058125,0.36093749999999997,0.7840750000000001,1.2722722499999999,0.46522375000000005,0.07605475,0.007441550000000001,2.1401875,70.551,14.741175000000002,23.027325,-2.204325,0.4900700000000001,20.59135,2210.55
0.304225,0.38351250000000003,0.39123125,371.7955,0.30319,0.01279125,0.44277500000000014,1.4547075,1.17307875,0.3621675,0.133116,-0.360425,0.527275,1.15259875,0.351275,0.06979775,0.47058000000000016,1.4225250000000003,1.2670675,0.52083,0.12472350000000001,0.159425,1.2584600000000001,1.274914,0.5904024999999999,0.13027875,0.7742125,0.799075,1.3483287499999999,0.30630125,0.10545425,0.005449550000000001,1.5544375000000001,89.175,10.415875,28.662175,-1.966475,0.45045,13.850349999999999,3663.25
0.808475,0.22083750000000002,0.35335625,960.6775000000001,0.44709,0.06991125,0.024725000000000108,1.4436375,1.16146375,0.5085225,0.041268000000000006,0.08817500000000011,1.235575,1.19453375,0.47226500000000005,0.06094925000000001,0.2898600000000002,0.508925,1.2163225,0.38663000000000003,0.041871500000000006,0.18108500000000002,0.77666,1.222274,0.5069525,0.036941249999999995,0.4238375,1.4933750000000001,1.27223975,0.43010625,0.08768325,0.007656650000000001,1.4700625,136.341,8.408275,25.297775,-1.5656249999999998,0.40881,22.716250000000002,2701.25
0.040175,0.5645025,0.5628687500000001,215.14249999999998,0.42385,0.043796249999999995,-0.107925,1.3909875,1.18508875,0.5289225,0.031316000000000004,-0.423775,1.487425,1.17665625,0.420065,0.16847425000000002,0.4512200000000001,0.837975,1.2522675,0.35151,0.11050650000000004,0.22932500000000003,1.2717800000000001,1.268942,0.5984175,0.06376875,0.5911625,1.171175,1.32017075,0.6516462500000001,0.10195725000000001,0.007378550000000001,2.0829375,86.289,11.947125,28.573125,-2.152525,0.41231000000000007,19.422250000000002,2897.95
0.049125,0.3288375,0.31053125,681.1325,0.41765,0.030963749999999998,-0.42017499999999997,1.4012475000000002,1.15248125,0.4314225,0.00166,-0.389675,0.774775,1.17786875,0.46354500000000004,0.07560325000000001,0.3236200000000002,1.300275,1.2858525,0.23019,0.05486350000000001,0.08643500000000001,1.0726200000000001,1.235622,0.5427275,0.10625625000000001,0.3748375,1.009025,1.35714275,0.52740125,0.10683875000000001,0.00227075,1.1155625,162.351,8.427525,33.939525,-1.906475,0.24091,18.409750000000003,3985.25
0.8724250000000001,0.7129125000000001,0.28450625,182.2635,0.5193099999999999,0.08062125,0.2063750000000001,1.1476275,1.19225125,0.4419375,0.148964,0.18467500000000003,1.259225,1.17319625,0.5142450000000001,0.05071525,0.16078000000000015,0.676825,1.2608125000000001,0.45003,0.05654350000000001,0.06456499999999998,1.21638,1.275654,0.5232575,0.11559375000000001,0.5159374999999999,1.328475,1.2911092499999999,0.5323237500000001,0.19649975000000003,0.005256950000000001,1.3509375000000001,88.503,11.185525,31.977825000000003,-2.069775,0.3875900000000001,10.57525,3472.9500000000003
0.9881750000000001,0.10896750000000001,0.6011937500000001,569.1185,0.29455,0.09049875000000002,0.3322250000000001,1.4453025,1.1598087499999998,0.5322375,0.033364000000000005,-0.019074999999999953,0.796525,1.15387625,0.374695,0.13634425000000003,-0.17597999999999997,1.013325,1.2208975,0.55001,0.11819950000000003,0.10692499999999999,0.84694,1.26871,0.5502375,0.10118625,0.33521249999999997,1.227125,1.25788125,0.4260637500000001,0.08496625000000001,0.007372250000000001,1.9666875000000001,153.687,9.215724999999999,28.006325,-1.5349749999999998,0.10353000000000001,20.79475,3378.75
0.450125,0.023152500000000003,0.13064375,836.4625000000001,0.31585,0.049113750000000005,-0.475325,1.1548725000000002,1.16689125,0.4435575,0.15310800000000002,-0.419725,0.609925,1.1568237499999998,0.48552500000000004,0.16611125000000004,0.2656600000000002,0.636675,1.2063675,0.33145,0.07960850000000001,0.3727250000000001,1.05966,1.200758,0.5830675,0.15052125,0.3046125,0.666775,1.28484975,0.7442112500000002,0.16840025000000003,0.0069111500000000005,1.3278125,121.833,12.306225000000001,31.647624999999998,-2.260875,0.44813000000000003,17.58715,3605.4500000000003
0.720825,0.5448375000000001,0.25998125,338.4755,0.32721,0.07311374999999999,0.3725750000000001,0.6946125,1.1845537499999998,0.30387749999999997,0.032348,-0.150125,1.427575,1.1946537499999998,0.358755,0.08633875000000002,0.3450600000000001,1.0144250000000001,1.2786475,0.5428900000000001,0.07291650000000001,-0.017365000000000005,0.60554,1.218146,0.5313975,0.17397375,0.4840875,1.377925,1.3275872499999999,0.25083375,0.09641925000000001,0.0032520500000000003,2.5090625,86.325,12.085725,22.343525,-2.491825,0.4607300000000001,17.623150000000003,3781.05
0.7991250000000001,0.6120225000000001,0.78333125,944.7525,0.5393300000000001,0.06606375,0.09727500000000011,1.3231275,1.16503625,0.3429375,0.017516,0.41562500000000013,1.153425,1.18482125,0.387285,0.10116275000000002,-0.10605999999999999,1.1637250000000001,1.2239225,0.50301,0.12027150000000003,0.21078500000000003,0.80958,1.24121,0.5419975,0.11773125,0.5648125,0.8083750000000001,1.34689875,0.32260875,0.13662175000000004,0.00492395,0.5925625,65.115,14.625675000000001,29.389525,-1.675825,0.45355,24.314650000000004,3908.4500000000003
0.058425,0.47985750000000005,0.49581875000000003,315.8375,0.27491,0.08173875000000001,0.011075000000000057,0.8314575,1.19291625,0.4904625,0.03286,-0.261225,1.1064250000000002,1.1863012499999999,0.5208750000000001,0.004551750000000001,-0.22857999999999998,0.742875,1.2692525000000001,0.20715,0.047331500000000006,0.28347500000000003,1.05634,1.220138,0.5300725,0.12327375,0.7665125,1.321525,1.25453375,0.38704125,0.09331225000000001,0.007640750000000001,0.9126875,165.597,8.128975,29.803575000000002,-1.720875,0.19957000000000003,15.053650000000001,3700.9500000000003
0.382975,0.7618725000000001,0.39891875,978.5135000000001,0.40743000000000007,0.06613125,0.2948750000000001,0.6262575,1.1850112499999998,0.3133575,0.09431600000000001,0.2910250000000001,0.911525,1.18539625,0.531575,0.026073750000000003,-0.06089999999999998,0.842525,1.2380275,0.5979099999999999,0.1549985,0.289505,1.0785,1.212326,0.5025775,0.11281875000000001,0.3059375,0.6631750000000001,1.27710175,0.74377125,0.07088075,0.0026586500000000002,1.6451875,154.779,14.998775,31.410375000000002,-1.8213249999999999,0.34879000000000004,13.22935,2040.75
0.255125,0.08412750000000001,0.47793125000000003,348.9125,0.24575000000000002,0.08761875000000001,-0.05602499999999999,1.2985125000000002,1.1520662499999998,0.5668124999999999,0.11348400000000002,-0.158725,0.507475,1.17602125,0.5150650000000001,0.16440275000000004,0.05726000000000003,0.537125,1.2186124999999999,0.27383,0.13537050000000003,0.289115,0.72774,1.212418,0.5829175,0.15889875,0.5508125,1.444525,1.34632025,0.6191137500000001,0.13164275,0.00464465,1.3484375000000002,61.845,13.399275,27.202275,-2.166525,0.15039000000000002,22.145650000000003,3236.15
0.204375,0.6288075000000001,0.36453125,64.6635,0.33617,0.05298375,0.03737500000000005,0.9623174999999999,1.1750937499999998,0.3961125,0.147116,0.2677250000000001,1.191475,1.17862875,0.491005,0.0017212500000000006,-0.05777999999999997,1.2462250000000001,1.2031725,0.55537,0.07923750000000002,0.28203500000000004,0.68874,1.231774,0.5075625,0.04506375,0.6153625,1.336525,1.30066425,0.25451875,0.09010775000000001,0.0074373500000000006,1.7061875000000002,97.959,9.316875,33.989575,-2.291475,0.13613,13.43545,3533.25
0.6909250000000001,0.032872500000000006,0.32316875,530.8005,0.31081000000000003,0.061856249999999995,0.3243250000000001,1.3662825,1.15216375,0.3825075,0.087108,0.31657500000000005,0.844875,1.19283125,0.36944499999999997,0.13487375000000001,-0.04813999999999996,0.923825,1.2379275,0.26301,0.030412500000000002,0.15798499999999996,0.8599000000000001,1.250846,0.5719775,0.12616125,0.4366875,0.9283250000000001,1.36988925,0.6917412500000001,0.11316975000000001,0.00229055,1.0368125,98.09100000000001,12.926075,33.570325,-2.350425,0.17123,14.87095,2669.95
0.6336750000000001,0.6133275,0.4472562500000001,144.7295,0.48011000000000004,0.05563875,0.32782500000000014,0.8408625,1.1980137499999999,0.3369525,0.024372000000000005,0.3946250000000001,1.455375,1.1875912499999999,0.42090500000000003,0.04964425000000001,0.4530600000000001,1.3440250000000002,1.2366225,0.57969,0.12509450000000003,0.220535,0.8043,1.223846,0.5274425,0.14639625,0.5835125000000001,1.209025,1.3672307499999998,0.33314125000000006,0.16128275000000003,0.0022869500000000003,1.8649375000000004,86.205,14.561975,28.757075,-1.8954749999999998,0.24905000000000002,10.64815,2556.45
0.8129250000000001,0.26795250000000004,0.5697312500000001,471.26550000000003,0.42281,0.05248125,-0.083125,1.2451425,1.1652737499999999,0.5135625,0.044956,0.3189750000000001,1.279325,1.15523625,0.533155,0.018542750000000004,-0.12505999999999998,1.282925,1.2203275,0.59351,0.12143350000000003,-0.012745000000000006,0.8651,1.219234,0.5922525,0.10565625000000002,0.7302125,0.819275,1.34164675,0.5233862500000002,0.08897675000000001,0.007689650000000001,0.7720625,108.885,12.691575,25.790475,-2.132975,0.37263,9.10465,3364.15
0.815625,0.16058250000000002,0.45321875000000006,786.3355000000001,0.40119000000000005,0.14881125,-0.12877499999999997,0.7645425,1.16809375,0.3735825,0.0219,-0.311825,1.426275,1.19240625,0.423145,0.10572725000000002,0.04946000000000006,1.3581750000000001,1.2510325,0.20195000000000002,0.06560150000000001,0.432095,1.0791,1.204366,0.5842725,0.059628749999999994,0.5064625,1.136875,1.33597875,0.32343375,0.09509325,0.00720665,1.8318125000000003,149.859,13.787775,32.531625000000005,-2.188775,0.4731700000000001,21.46075,2818.95
0.759125,0.7962075000000001,0.29009375,258.50750000000005,0.28107,0.04219875,-0.070075,0.6228374999999999,1.18564625,0.4530075,0.079628,-0.22597499999999998,0.524725,1.18244375,0.45978500000000005,0.09197425000000002,0.44670000000000015,0.636425,1.2413275,0.42081,0.04602250000000001,0.415115,0.8203400000000001,1.253198,0.5655425,0.05938125,0.6903625,0.993475,1.33928725,0.35599375,0.11805775000000002,0.007884350000000002,0.9573125,89.931,13.942125,24.017924999999998,-2.417325,0.47097,15.74125,3127.75
