scen,swc_nse15,rmse_nse15,swc_nse50,rmse_nse50,swc_nse80,rmse_nse80,swp_nse15,swp_nse50,swp_nse80,et_cor,et_nse,max_ET
88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
89,-33.25691796152783,0.08074293165548461,-179.2541225199804,0.27370493398734597,-1471.7221615864885,0.3366635911720898,-148.62571687326056,-149.9852514868495,-307.8453149748729,0.6646893721543045,-3.666741415022586,7.528673536047354
90,-148.2268260217176,0.16852091987360426,-9.606780390153869,0.0663944552282655,-210.15478660738177,0.12747828319696636,-7.754952928663856,-2.578222190860994,-0.9332578697893341,0.652946617795421,-0.4084540136999173,5.864235298731246
91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
92,-13.175384406461905,0.05193950335195786,-38.8286678139639,0.12865833107135383,-461.1912008248437,0.1886021230600641,-19.57077570455193,-2.309658013791382,-0.7420934594343449,0.6556669129899969,-2.1409550150606247,6.939191727884858
93,-0.2098925366777291,0.01517412890190178,-11.047981760900822,0.07076152338461167,-222.87473838491027,0.13126177909763775,-6.7453877091627765,-2.2320644628245803,-0.6416243307890337,0.6271620581255279,-0.18406985316081825,5.803977503188638
94,-15.90883792900648,0.05672666487140098,-196.93917107211254,0.28681766569724015,-1583.5452433032826,0.3492111184550575,-5.8348198502098345,-1.5685485455442176,-0.16301583475508252,0.6913074858508766,-0.4664630045973157,5.8672247020716375
95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
96,-35.22067684533693,0.0830249553911727,-55.17050188028125,0.15278973423132072,-571.1448824092968,0.2098402280136226,-184.07963592774,-306.36571899909103,-616.9148374699001,0.636480316569477,-6.525832407020056,8.25856890556441
97,-149.20781311609207,0.1690739238186039,-28.846253087253917,0.11137428577587995,-31.11441206526745,0.049714803641222244,-7.952102814221499,-2.5388530194480663,-0.8933993107754266,0.6862077005878295,-0.6943754680252421,5.979246779723919
98,-14.437379587422557,0.054202230865274516,-47.30067452426503,0.14168263368851997,-528.5600718273507,0.20188002824896614,-5.3614816831018866,-49.481294571655354,-91.32865778679073,0.6424027625449056,-5.465135608434868,8.596468801321127
99,-36.19336358171745,0.08413236511658563,-23.29746038321643,0.10048944893983286,-332.27457464668555,0.16015364671331392,-103.9149372513342,-326.57655648496944,-655.0031013236837,0.6827189046265115,-4.619235220363352,8.027690408951827
100,-22.11117105241699,0.0663195156972503,-85.14733193450232,0.18921734267585474,-820.4106575565941,0.2514293121948404,-7.6636433708819425,-2.413821809719711,-0.7807661065118363,0.6786895860342688,-0.33876805626964046,5.752812586974452
101,-27.045195464986996,0.0730566250891162,-93.00826787533083,0.19766193780383426,-877.7734926814542,0.26006039318794444,-4.252440412964115,-0.2400292997151503,0.011094894066785432,0.671521171248888,-0.009447004106889256,5.049927029450118
102,-1.0668934419322924,0.019833045753666786,-123.58514465553222,0.22754806865136218,-1091.3173758224855,0.28994135334599985,-6.923966330522614,-2.4093646491582628,-0.7827060808079167,0.6760183676556468,-0.465291191430548,5.737419273635525
103,-98.38043221481168,0.13752473308833313,-36.67849605588152,0.12513730657210748,-456.79569092931774,0.18770316294296469,-5.733342228672194,-1.1879870755586164,0.08562831646668534,0.6987579540113994,-0.39892205558126603,5.580261529194612
104,-14.974429565953056,0.055136989468772823,-1.3582166186370284,0.03130630925936122,-96.06090472458179,0.08642868557365561,-7.355244543018367,-2.2420525846269395,-0.6565754212521557,0.6840869546875706,-0.1467049865559802,5.714650957333157
105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
106,-118.30064669042241,0.1506786668454105,-140.260599601048,0.24229839982122398,-1209.7579602617427,0.3052561392545209,-4724.336272641467,-756.1924046181636,-1510.1485176512338,0.653331179032312,-1.5192978620212667,6.525896337091238
107,-4.811231987815825,0.03325557617454186,-4.55858690531699,0.048064255909745626,-6.073292401854664,0.023331708749450435,-6.499639485333748,-1.9240905993378274,-0.5205442812928103,0.68866517567795,-0.9748684000110113,6.114358206916631
108,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
109,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
110,-51.545145909541695,0.09999923354208286,-4.465730160272845,0.04766110607567939,-152.55377198082684,0.10870912126878829,-4.956748052197359,-2.2292261970136873,-0.6437662976506688,0.6264462926100451,-2.2314499728249255,7.287570607392565
111,-6.395431038916556,0.037515618945411014,-118.39844632266494,0.22276110375410882,-1011.9370192738195,0.2792074243273116,-5.655484386143098,-0.6710240835992898,0.1972975027882865,0.6575439077362415,0.013155518107435982,5.349376238613004
112,-64.6308421872411,0.1117594764868617,-15.876194277220407,0.08374854709876899,-130.67150538003915,0.10066572855654864,-166.22943514673506,-11.298731447850544,-10.681965539669743,0.6755019388277198,-3.1931554714650563,7.202366300253658
113,-26.419295728766432,0.07223680314737337,-144.21512226546847,0.2456665040945711,-1226.723247189282,0.3073873425212109,-9.123278650545542,-1311.4928618236831,-2631.4241161719265,0.6755877937121418,-2.772223682424422,6.29283081994327
114,-49.541206412742994,0.09807383823661986,-51.8694919437587,0.1482322128187893,-545.644755597846,0.20511070794182448,-70.19543035584275,-1.7041552601620609,-0.341370761699727,0.6586098860067815,-4.28695798568459,7.192469856955892
115,-80.69651217197782,0.12469014444474585,-23.220913466151075,0.10033103268328941,-340.88790293149964,0.16220999384429993,-3.9595643857389238,-1.203540293783723,-0.18088699734546254,0.5823052464272094,-3.4268270136022663,7.378734962348355
116,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
117,-53.26046478097507,0.10161834672064887,-128.0468845142154,0.23158679124472267,-1110.8504885500784,0.2925222708884434,-7.137368767955643,-2.2137416284407725,-0.6639579659843542,0.5965420991366225,-0.29742168909901734,5.504787027481627
118,-233.42439226404053,0.2112184102383913,-5.3772350563740074,0.05148209785132526,-31.096866753340677,0.04970122125171126,-6.715754086971893,-2.089137068193322,-0.5172802019796026,0.7090624215451204,-0.6188159226451606,5.573530836562571
119,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
120,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
121,-23.7223544204961,0.06859228714340235,-190.25939767769094,0.2819365721549363,-1541.3426448630553,0.34452930970679174,-3.7095683843311535,-1793.9278300473993,-3514.9542632084526,0.5725505074833948,-4.824231804145015,8.913294607461047
122,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
123,-35.23910458287261,0.08304607271520673,-97.77983195308128,0.20261619942732753,-909.299584628757,0.2646841363216236,-630.6817658172733,-2074.692229282546,-4054.1193000531675,0.6800700105218164,-5.558949528466376,8.04893935662463
124,-1.3142159268697169,0.020986127603628748,-145.2988355571154,0.24658148177208186,-1238.4209533838691,0.308848259059089,-7.834059024116499,-2.507916289875485,-0.8726048331997394,0.642391810301123,-0.14848522184756185,5.824868075571768
125,-45.292031296857374,0.0938606352430676,-21.253803438142743,0.09617056049566622,-296.20077271718174,0.1512379241607796,-2213.91397455351,-2.4219876737104302,-4.111329476539299,0.6593283295241008,-4.247153495753313,7.845081188349299
126,-78.57766957301739,0.12306256942503928,-99.63705698554153,0.20451209012049631,-925.5080655131691,0.26703017648876526,-6.110129092987713,-2.0860866614980926,-0.5613959643145305,0.6903109921104204,-2.90617893605807,7.488412324695814
127,-24.395024137857103,0.06951918708761799,-179.25810602823768,0.27370795832827544,-1470.5358383967382,0.3365279673936218,-1571.1963913398954,-15.194074921054742,-36.04357420897241,0.6280823472061219,-5.930330342307145,8.278240401784103
128,-10.548369181251186,0.046880334270331864,-204.08459096177472,0.2919486952970551,-1631.1553692749872,0.354418586887326,-5.922642057825976,-1.6622618386907342,-0.2815169356932945,0.6469477458969146,-1.7099062274721177,6.148020177325974
129,-103.71433352926337,0.14116708164099817,-97.48590469754572,0.20231452452814097,-912.3041139189528,0.2651205839120581,-471.1781924689853,-865.7761024947562,-1711.3978522631462,0.6422226652515102,-6.159108187127237,8.13438425633447
130,-36.64203441760456,0.08463829650953275,-118.71895747956654,0.22305989143088784,-1061.0770471107717,0.28589973463918716,-6.097217861620656,-438.5751617053482,-862.0834435729632,0.6866379122484622,-2.8559730875538634,7.191501870635387
131,-146.6572512406138,0.1676323216332204,-20.806072349750604,0.09519820236915497,-311.40465236647856,0.15505811035026554,-124.3490625519181,-1.7796301417039806,-2.038002110780077,0.6981635072519586,-4.335540168542953,7.9744243541053415
132,-32.58968351401796,0.07995273527964894,-32.06229294664866,0.11722129316304646,-413.9567641793991,0.17870518969044383,-7.411730648427847,-2.4714340938859807,-0.8475543959544936,0.6305169904580405,0.13130002956856013,4.368912537612623
133,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
135,-139.8938154361215,0.16374812476388084,-112.53099637313859,0.21721871888965402,-1015.3437262458003,0.2796765450393293,-6.979766524088907,-1.886974887427884,-0.3700177396469666,0.6942454514387415,-0.48495128757868167,6.047587897216248
