scen,swc_nse10,swc_rmse10,swc_nse40,swc_rmse40,swc_nse60,swc_rmse60,swc_nse80,swc_rmse80,swp_nse10,swp_nse80,iso_rmse5,iso_rmse20,iso_rmse40,iso_rmse_xy,trans_cor,trans_nse,max_trans,ann_trans
12,-41.39524031063779,0.19282186312863042,-24.174120129636677,0.10301198456052019,-17.746912247061953,0.1124602345615523,-18.876933526757135,0.09990199174278884,-137.62050874182924,-0.3057215191870335,3.898076158793432,3.2377342743189437,2.8266235599424197,3.474693081969068,0.7413780045229549,-19.969356039419914,10.592328692837134,976.6812079442069
13,-100.25552742402216,0.29799370804239467,-112.87380466838711,0.21908998193103615,-78.20178467962326,0.2311540971727538,-83.04447187862573,0.20542534754925032,-2.419604603826019,-0.0569700559977826,3.913670699992131,3.1674700217336267,4.456860380607701,3.449540625761106,0.7702809938528679,-12.809945681307148,9.022815170230784,768.5331888516354
14,-52.00502789443058,0.2156037240088667,-139.7984937539608,0.2436181317289093,-115.61754172153319,0.28048914131858316,-166.25505217123197,0.28979379132597144,-15.393456783968563,-0.7409586782297406,3.959675753286905,2.9144940114335514,2.8807986181028022,3.455368836874937,0.7787696590258535,-4.455712544395572,6.809779466078515,559.1608082107701
15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,-28.597682598232524,0.16111151387577372,-174.59874792890508,0.27206414561711545,-127.5531279345889,0.2944933117099752,-170.84483332364226,0.29374311345858617,-0.3266347929122857,-0.7101221136251501,3.9390858426569384,3.1446745265597587,2.8083365371780755,3.386985608313814,0.7367823525436465,-0.03343669929992776,3.736601781833701,320.52047285424777
17,-104.71347198743791,0.3044828896696306,-253.92948741711464,0.32780882439181097,-177.0963216281814,0.3466263600369674,-238.63458328644498,0.34687595909024294,-0.5168673641830217,-0.7349896117807801,3.8841186290640985,3.3150777189346035,2.988431169515868,3.0879579863896813,0.7364605013903751,-0.12267750577345593,3.7932381272419633,328.0168953143431
18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,-5.639517114079376,0.07630727970307306,-85.83281857264615,0.19131655548103152,-67.75024182789446,0.2153630667068917,-90.64957696574264,0.21451846787740889,-1.0200760054822111,-0.6915563617723584,3.9599234055766215,3.176960843384817,2.7425342937958477,3.6585634951194956,0.7757732501007862,-4.832502858125388,6.9983191141933325,572.4987242959454
20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,-21.025929037534446,0.13898401133540572,-20.88052675160155,0.09603720019306547,-17.678870236070853,0.11225596155099661,-22.874571413391017,0.1094881824061809,-23.55162356656222,-0.5813524665511529,NaN,NaN,NaN,1.7447830553322756,0.7499033753772013,-2.7907315322355326,5.784899347826617,484.04017798658685
22,-5.150416286055009,0.07344292752419564,-0.6500063101489679,0.026372627855437664,-0.9208435066467446,0.0359981434832687,-1.1044360733172294,0.03250628382230361,-251.87376857876583,-0.6080316617977641,NaN,NaN,NaN,2.2040922409707906,0.7620264935840434,-6.421645635975297,7.093268089396592,596.0586505077321
23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,-54.09218665951756,0.21980761263833282,-95.95101944350675,0.2021560736486988,-66.73263389354095,0.2137632746576051,-81.43741696695899,0.20345184935118354,-0.27094849111431274,-0.6596127023576002,3.9300023131351556,3.4536345317584,3.029092968395356,3.2895057791800526,0.7565899020426546,-4.542727737704069,5.879904180794913,568.7070006874095
28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,-13.223894654152266,0.11168812182320156,-164.8825806566113,0.26443016469426733,-123.68297863724642,0.290026509734795,-166.072086243454,0.28963524036477,-10.714562929426531,-0.7321409240617367,3.947150402250473,3.25140688439444,2.8230259168943186,3.538970330824853,0.7732792287419492,-1.7173592277527967,5.000695867881571,453.551478457225
36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41,-133.67518828498999,0.3436699185007488,-68.96724793542532,0.17173467789723532,-49.65445312337979,0.18485999086443097,-65.3062472172019,0.18246378452332412,-0.5214194240038623,-0.5906709254023867,3.9054591394018265,3.4122864518937694,2.92643176047593,3.4052790371203745,0.8018564231553813,-0.5216977663666411,2.816650594634966,460.96690239836937
42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47,-103.45285417202533,0.3026619877502589,-32.75036891845622,0.11927512108661435,-25.348210932352607,0.133324412164386,-29.395590365567127,0.1235391889044635,-0.6584768132450798,-0.44218195756723055,3.891444979886472,3.3520429542283448,4.107459416009518,3.490834712106175,0.7705679171045834,-11.504455117004266,8.304108140644958,751.5562023801685
48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50,-7.56308760657428,0.0866588492719605,-112.30698259035319,0.21854402686297908,-80.60506847156982,0.23463493685386222,-107.37190895901718,0.23326942341853307,-0.3626683533400279,-0.6718752546456475,3.8117188950967513,3.3256855387150606,2.8071232945722127,2.984743123300453,0.8004048455197555,0.045211039492270566,2.436260059392666,414.1691320508547
51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52,-42.637800516126276,0.1956271601804496,-2.446798391066952,0.03811698530419779,-0.16675009413786013,0.02805582436083658,-0.6277506605362018,0.02858863331247166,-55725.370535746835,-0.7780533721378109,NaN,NaN,NaN,145.48447455828958,0.7216681016267411,-10.960620890166108,8.9912187062337,693.9362534660016
53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54,-5.30908515602595,0.07438423807646238,-22.879958514909294,0.1003292089221701,-20.81297413080624,0.12130858973749044,-26.570172771767798,0.11765738669864645,-2.0559521781201705e8,-0.3684789934708863,NaN,NaN,NaN,1.301213165704041,0.7498726230194387,-17.186316891579175,10.807726010538463,870.8026015313392
55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
56,-16.257281168501212,0.12302231968125213,-5.538261960907102,0.05249787958740909,-1.8604936509176535,0.04392933265717777,-3.192417878664987,0.0458808797067948,-284899.432217965,-2.4026483299235424,NaN,NaN,NaN,57857.1590267986,0.7391057335232818,-11.997952320722025,8.840087034865721,711.5457162379953
57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
