ψ_kPa_100mm,ψ_kPa_200mm,ψ_kPa_400mm,ψ_kPa_600mm,ψ_kPa_800mm,ψ_kPa_1000mm,ψ_kPa_1200mm,date,ψ_kPa_eff,RWU,AET,ks
-23.854814533147962,-31.5998447681194,-51.771742890730835,-50.42066735281055,-47.374170756950875,-45.607067306923675,-42.602339291082124,2024-07-22,-48.32431983470417,0.5790917868702702,0.4765590786638466,0.1
-70.3350949000334,-57.053053197157276,-53.78761669275543,-51.10640935035919,-48.359525433716385,-46.92163375746892,-44.331111039584016,2024-07-23,-64.91889148457524,1.355919822731438,1.3584090100063455,0.1
-171.856865719624,-92.33948075730947,-63.15466551423772,-57.547627291664206,-52.66182768686998,-50.352311148975154,-46.83162681701933,2024-07-24,-113.90911550868088,1.3347588261635948,1.403436122048692,0.1
-294.958346376096,-144.882189025374,-80.42693868002027,-70.06585793056456,-61.30488443150749,-57.29816627309084,-51.6436912280942,2024-07-25,-98.80955676966337,1.40043862756335,1.479663074866367,0.1
-432.86114464253836,-190.45086579128989,-103.73248734035214,-87.52462559617891,-73.64245922766568,-67.34949385003027,-58.731124787458846,2024-07-26,-110.31196806479811,1.4878258282326113,1.5439831546499723,0.1
-591.9366841377621,-238.34716795838816,-134.08402714209694,-110.27178396077484,-89.70078559553252,-80.42542675416942,-68.01390440125512,2024-07-27,-130.3835596852522,1.5714802904497942,1.6338940447593,0.1
-801.0868509773137,-299.1536595691349,-176.46029681056785,-141.4017246158678,-111.0916673771166,-97.56914398764404,-80.00418327525787,2024-07-28,-161.58455029735416,1.69350283651143,1.7699909800572537,0.1
-899.6446595310504,-346.02778895830795,-229.83177952186855,-181.65927284470067,-138.80901260551678,-119.65647776061174,-95.27997421525147,2024-07-29,-196.48769530650753,1.7082152367739643,1.7849627894045623,0.1
-1102.3382778755415,-432.05001700149626,-295.99572710542975,-232.55875703116914,-174.1853195445274,-147.79987296478566,-114.55758065088408,2024-07-30,-244.81449147302564,1.7184506654853666,1.8092365959191925,0.1
-1375.3884310587139,-527.9096086025183,-390.89539203308215,-305.2440429620634,-223.46317317446824,-186.11971984912614,-139.89296028518237,2024-07-31,-308.5147269010807,1.7930600366567466,1.9228978901576956,0.1
-321.81461649726873,-281.13199260857317,-412.92724503244983,-353.9343955861096,-270.39134772697713,-227.01231305512852,-168.89207733530324,2024-08-01,-315.78406511632755,1.3863953510864597,1.456132150710976,0.1
-177.83368588253722,-279.6580872358186,-334.3497047746226,-308.6056075944151,-263.1336273189327,-235.2157822240735,-185.83410710139043,2024-08-02,-236.92470461854657,1.0648809221271895,0.7903740997947865,0.1
-120.15721616476287,-148.5401022565382,-267.97665514993554,-262.72554216581767,-238.3673857808781,-222.2332802941955,-188.36032837830072,2024-08-03,-128.14763354088467,1.0981590577571876,0.9879452248271133,0.1
-548.3427897989657,-356.29057430653546,-248.3545494836084,-235.8099397423037,-218.76208715081216,-208.44982379684407,-186.11807687105969,2024-08-04,-521.295476388505,1.478875481901596,1.409748250511351,0.1
-665.5603453609709,-430.90429311046177,-343.38797002313714,-294.41095429515275,-249.93906000555938,-229.18228770465436,-198.60607764159914,2024-08-05,-310.14329795573997,1.089717739541974,1.3438943449778566,0.1
-852.5737147731733,-540.6494340756739,-443.1187160791697,-379.5954859878002,-312.07630455366143,-278.566636517804,-230.31336892080552,2024-08-06,-380.8161719000958,1.2971870781396704,1.4662722838494946,0.1
-1077.464495819614,-682.6223579213688,-598.1625474366211,-504.9337411341728,-403.1254068184411,-351.8091613373084,-278.1501987057605,2024-08-07,-487.156208731683,1.4627323358487048,1.6556555117155491,0.1
-1056.2676455759988,-650.6313417624059,-616.658247096092,-573.3749540904084,-485.8082470725439,-430.87461223822623,-335.8673246357731,2024-08-08,-479.5094577269365,0.9801294808310299,1.1298721241492156,0.1
-1314.88118515488,-1022.3056206766078,-830.3019973819108,-709.3478332070223,-582.7353487271846,-515.4581288730218,-399.54579151484273,2024-08-09,-695.8456887285972,1.3866211537181516,1.5350046938180952,0.1
-1561.8843523266992,-974.8904704148306,-820.4735850309303,-789.9358055541273,-693.1795531960537,-624.0656501610854,-480.62656157014476,2024-08-10,-626.1801834186846,0.8768287412596234,1.07804989482046,0.1
-1812.4252995260977,-1027.4482752740923,-916.4589174769459,-847.1224577568995,-752.2104514706319,-694.6145260033957,-553.470534897591,2024-08-11,-711.8356760356933,0.8104142803070138,0.9154265160865604,0.1
-2107.34311872948,-1083.7041411905273,-883.5698000123544,-853.7305166315574,-792.648575686507,-746.4624244977896,-613.66484396234,2024-08-12,-674.988202294151,0.5324479814790882,0.5943790320853084,0.1
-256.522450927604,-364.1651430787386,-809.3792841635104,-835.6698089949647,-794.8185361668591,-758.6401797947244,-646.022293124024,2024-08-13,-695.8600160974968,0.3972509797638375,0.40076952866291654,0.1
-11304.998957905535,-2556.397535958696,-834.559568435402,-789.9245583945146,-741.5589243475779,-710.5105845175257,-625.2113748233402,2024-08-14,-5085.192641850873,2.7284122419694947,1.6571756100701875,0.1
-1970.1274156770203,-1336.6117325056464,-836.4540715654217,-789.3450337788926,-737.1504148400718,-706.7931067289004,-631.5960028718064,2024-08-15,-643.2203373190264,0.15205500009230746,0.7711009272669933,0.1
-2048.425645917015,-1293.441708063239,-911.5870777707387,-878.9947927291197,-812.5345308097423,-769.3848489637476,-676.2494507234929,2024-08-16,-786.7623693576293,0.46357863337895916,0.8017732332187748,0.1
-2265.7450265459283,-1284.350383923203,-907.7319472423453,-877.6877272062143,-839.1544941920312,-812.4294647206578,-731.9550820566302,2024-08-17,-756.4679184819286,0.2896608968704468,0.4221410040848318,0.1
-0.0,-4.664589740738207,-203.69001511778723,-544.0293712402412,-739.9704206044626,-778.2617032552165,-736.9400558792266,2024-08-18,-713.3646815126137,0.1438722186049481,0.1298819871952634,0.1
-1.682904817490974,-8.190034523307947,-57.84968514142009,-123.57299141406757,-274.44217209469195,-382.4568537434117,-560.499634102793,2024-08-19,-2.871593256798236,2.0411550676492083,0.2842690516119057,0.1
-7.8360060091975265,-18.83013217430465,-58.79688084991042,-87.03925502286216,-146.65609843453637,-189.5451876520951,-312.79678098215396,2024-08-20,-15.77962236665588,0.8887164955059155,1.0450246957598206,0.1
-22.63292978408299,-37.992477868471596,-75.68479475579213,-93.71762569589988,-127.72072866278658,-151.15804241145747,-221.69971075573724,2024-08-21,-33.63993210313377,1.0990213057510847,1.1348690838215347,0.1
-58.774542186484865,-68.62641035355756,-95.74296708027892,-108.01608778048218,-131.42566670664223,-147.37017682412974,-194.31693556238153,2024-08-22,-66.15396128997725,0.987143590931693,1.006986874847683,0.1
-146.85470208902885,-120.29002467876464,-122.85458040348591,-129.2083764312225,-144.50735524648644,-155.34810253500277,-188.36443028577838,2024-08-23,-142.5239416998953,1.028970576791781,1.1054640493768546,0.1
-327.7566229910505,-216.46467450391893,-168.38979731343116,-164.98613355482965,-170.0131071563081,-175.25514158976966,-195.4504516864424,2024-08-24,-241.38809277411835,1.1605630854330409,1.2959810367482756,0.1
-438.85403253679505,-325.35354309977606,-245.96323595613637,-225.44588532843525,-213.7295188418771,-210.72331675481786,-216.27652254637502,2024-08-25,-259.95019333503217,1.1688901104969303,1.3242502638982123,0.1
-121.98787672811224,-157.6259673230685,-261.69806521076083,-258.561983485745,-248.7407322707961,-243.59366525491743,-239.72647476190187,2024-08-26,-252.1261336321997,0.5214899424604391,0.5525941280708153,0.1
-391.25121252440465,-311.74933909049975,-256.4967012838062,-253.63276973694317,-251.4834823163206,-250.3387693385694,-248.86990526540202,2024-08-27,-375.3073178022008,1.1911478960268462,0.9681510794747588,0.1
-538.7583940018625,-446.23574191235946,-356.77034995288824,-320.41441447904083,-292.10222835188307,-280.30108274513725,-266.84990077283214,2024-08-28,-356.9955890303249,1.0012890614219332,1.2890654625003868,0.1
