ψ_kPa_100mm,ψ_kPa_200mm,ψ_kPa_400mm,ψ_kPa_600mm,ψ_kPa_800mm,ψ_kPa_1000mm,ψ_kPa_1200mm,date,ψ_kPa_eff,RWU,cap
-316.07715053090027,-155.11365346758296,-80.88196643632438,-69.92376168766414,-60.84895308282007,-56.74011998221027,-51.01966897126311,2024-07-25,-104.4611383430728,1.482103020116245,0
-463.20407759042774,-209.30067196506752,-105.5914183479188,-87.96129935946047,-73.36257232850322,-66.83819846974721,-58.077391124617556,2024-07-26,-115.49830297152026,1.5460465399963623,0
-634.3222569155455,-266.8909398620923,-138.76008182994374,-111.99530461867688,-89.86985809906423,-80.09822715942134,-67.3733037953159,2024-07-27,-137.20316557536012,1.6357949748386291,0
-860.1117069635436,-342.32873523640615,-186.86592465852218,-145.74896659365572,-112.2179259848409,-97.67423512613784,-79.45934154423509,2024-07-28,-172.52164346223532,1.7719829629506028,0
-964.120079964702,-396.76924747987454,-250.55572149366193,-190.96937789591445,-141.77005652023325,-120.60722268258064,-94.96057824548376,2024-07-29,-212.06957103765268,1.7864842043618032,0
-1187.3749538612813,-505.2565494703775,-332.9510284809874,-250.22923428281638,-180.40128855905465,-150.30532964471843,-114.70866870878446,2024-07-30,-270.9130364956009,1.8105288057187254,0
-1481.874812815968,-622.6660565747976,-464.1508368929898,-342.2695161412676,-237.30570030090612,-192.34981329557854,-141.29477962255754,2024-07-31,-352.0042100230531,1.9246118476802172,0
-341.8209486789327,-321.7682274689598,-495.84311125766516,-406.3054657304586,-293.02851081718313,-238.04342948000655,-171.95276939650253,2024-08-01,-358.2759694392313,1.4570516812425498,0
-177.08701200852718,-262.95187942354255,-363.98064702872375,-329.6885340152862,-273.26597962449836,-240.24011610234243,-186.6088585934049,2024-08-02,-218.96591880594593,0.7915662511384203,0
-114.92658223541339,-156.30210071547955,-283.54560057420827,-275.02138628610453,-245.49790222516447,-226.49458660561316,-189.35585866145638,2024-08-03,-126.01399574343161,0.9902204890348985,0
-497.026184377468,-333.7969433202577,-257.07854358109734,-243.9447354408212,-224.8683210306388,-213.25463606123213,-188.34729910392718,2024-08-04,-492.38184106257125,1.4076134646343625,0
-669.9880783892949,-502.91658875089485,-376.42742440072385,-315.22251285002625,-262.1949439881496,-237.9625402205705,-203.2656216545665,2024-08-05,-351.1670062977155,1.3426622645208182,0
-885.6955287697393,-610.9102213504367,-522.3554072436986,-429.9535513437874,-337.9976650083987,-294.79148591851646,-237.75444942641204,2024-08-06,-432.5843733858243,1.4654234009577976,0
-1156.457719759515,-891.4865513549319,-739.1890925614175,-600.4181414027639,-454.23645249814274,-383.58006697841853,-292.12245091181956,2024-08-07,-583.080791531447,1.6554877973065731,0
-1144.2691955334149,-795.9179821688499,-761.1730232144052,-706.9186787681176,-572.6029645240706,-488.82918865761275,-361.6669350212117,2024-08-08,-557.2085397691503,1.0830778608374758,0
-1373.2492394421076,-1049.0565551540865,-928.9173406556619,-804.2838961895092,-655.9012687276495,-572.2690363211796,-428.69731147233716,2024-08-09,-705.8333938162899,1.1265956111399893,0
-1622.1150933240406,-1025.5615411803228,-864.5661913370153,-815.8913773503116,-714.0479069867416,-641.5226152814964,-491.4282100714944,2024-08-10,-605.0963215612969,0.6191412108704786,0
-1880.0126332919806,-1054.9718362814494,-891.6852764804769,-846.8233682120406,-750.0549673089881,-685.8375799968802,-542.7028283033359,2024-08-11,-668.6248964637978,0.5945255630196744,0
