 

stn;time;rka150d0
VSSIE;20150202;0.6
VSSIE;20150203;0.0
VSSIE;20150204;0.2
VSSIE;20150205;4.0
VSSIE;20150206;1.2
VSSIE;20150207;0.0
VSSIE;20150208;0.2
VSSIE;20150209;0.0
VSSIE;20150210;0.0
VSSIE;20150211;0.2
VSSIE;20150212;0.2
VSSIE;20150213;0.2
VSSIE;20150214;0.0
VSSIE;20150215;0.5
VSSIE;20150216;0.0
VSSIE;20150217;0.0
VSSIE;20150218;0.0
VSSIE;20150219;0.0
VSSIE;20150220;0.0
VSSIE;20150221;5.3
VSSIE;20150222;2.1
VSSIE;20150223;2.3
VSSIE;20150224;0.7
VSSIE;20150225;0.0
VSSIE;20150226;0.0
VSSIE;20150227;0.0
VSSIE;20150228;0.0
VSSIE;20150301;6.7
VSSIE;20150302;15.2
VSSIE;20150303;0.0
VSSIE;20150304;1.0
VSSIE;20150305;0.0
VSSIE;20150306;0.0
VSSIE;20150307;0.0
VSSIE;20150308;0.0
VSSIE;20150309;0.0
VSSIE;20150310;0.0
VSSIE;20150311;0.0
VSSIE;20150312;0.0
VSSIE;20150313;0.0
VSSIE;20150314;0.0
VSSIE;20150315;0.0
VSSIE;20150316;0.0
VSSIE;20150317;0.0
VSSIE;20150318;0.0
VSSIE;20150319;0.0
VSSIE;20150320;0.0
VSSIE;20150321;2.6
VSSIE;20150322;2.8
VSSIE;20150323;0.0
VSSIE;20150324;0.0
VSSIE;20150325;0.0
VSSIE;20150326;0.0
VSSIE;20150327;0.0
VSSIE;20150328;0.0
VSSIE;20150329;14.6
VSSIE;20150330;32.5
VSSIE;20150331;1.6
VSSIE;20150401;0.0
VSSIE;20150402;1.6
VSSIE;20150403;1.6
VSSIE;20150404;0.4
VSSIE;20150405;0.0
VSSIE;20150406;0.0
VSSIE;20150407;0.0
VSSIE;20150408;0.0
VSSIE;20150409;0.0
VSSIE;20150410;0.0
VSSIE;20150411;0.0
VSSIE;20150412;0.0
VSSIE;20150413;0.0
VSSIE;20150414;0.0
VSSIE;20150415;0.0
VSSIE;20150416;0.0
VSSIE;20150417;1.5
VSSIE;20150418;0.0
VSSIE;20150419;0.0
VSSIE;20150420;0.0
VSSIE;20150421;0.0
VSSIE;20150422;0.0
VSSIE;20150423;0.0
VSSIE;20150424;0.0
VSSIE;20150425;5.6
VSSIE;20150426;0.0
VSSIE;20150427;0.0
VSSIE;20150428;0.7
VSSIE;20150429;1.7
VSSIE;20150430;0.1
VSSIE;20150501;55.9
VSSIE;20150502;22.9
VSSIE;20150503;12.6
VSSIE;20150504;6.8
VSSIE;20150505;0.0
VSSIE;20150506;2.4
VSSIE;20150507;0.0
VSSIE;20150508;0.0
VSSIE;20150509;0.0
VSSIE;20150510;0.0
VSSIE;20150511;0.0
VSSIE;20150512;0.0
VSSIE;20150513;2.9
VSSIE;20150514;1.3
VSSIE;20150515;25.2
VSSIE;20150516;0.0
VSSIE;20150517;0.0
VSSIE;20150518;0.6
VSSIE;20150519;0.0
VSSIE;20150520;0.0
VSSIE;20150521;0.0
VSSIE;20150522;0.0
VSSIE;20150523;0.0
VSSIE;20150524;0.0
VSSIE;20150525;1.0
VSSIE;20150526;1.0
VSSIE;20150527;0.0
VSSIE;20150528;0.0
VSSIE;20150529;0.2
VSSIE;20150530;0.0
VSSIE;20150531;0.0
VSSIE;20150601;0.2
VSSIE;20150602;0.0
VSSIE;20150603;0.0
VSSIE;20150604;0.0
VSSIE;20150605;0.0
VSSIE;20150606;0.3
VSSIE;20150607;0.0
VSSIE;20150608;0.3
VSSIE;20150609;4.0
VSSIE;20150610;0.0
VSSIE;20150611;1.8
VSSIE;20150612;0.0
