station_abbr;reference_timestamp;rre150d0;hns000d0;hto000d0
SRE;17.06.1902 00:00;0;;
SRE;18.06.1902 00:00;0;;
SRE;19.06.1902 00:00;0;;
SRE;20.06.1902 00:00;1.3;;
SRE;21.06.1902 00:00;0;;
SRE;22.06.1902 00:00;0;;
SRE;23.06.1902 00:00;0;;
SRE;24.06.1902 00:00;0;;
SRE;25.06.1902 00:00;1.7;;
SRE;26.06.1902 00:00;0;;
SRE;27.06.1902 00:00;0;;
SRE;28.06.1902 00:00;0;;
SRE;29.06.1902 00:00;0;;
SRE;30.06.1902 00:00;0;;
SRE;01.07.1902 00:00;5.1;;
SRE;02.07.1902 00:00;1.5;;
SRE;03.07.1902 00:00;0;;
SRE;04.07.1902 00:00;0;;
SRE;05.07.1902 00:00;0;;
SRE;06.07.1902 00:00;0;;
SRE;07.07.1902 00:00;0;;
SRE;08.07.1902 00:00;0;;
SRE;09.07.1902 00:00;3.6;;
SRE;10.07.1902 00:00;31.5;;
SRE;11.07.1902 00:00;0;;
SRE;12.07.1902 00:00;0;;
SRE;13.07.1902 00:00;0;;
SRE;14.07.1902 00:00;0;;
SRE;15.07.1902 00:00;1.6;;
SRE;16.07.1902 00:00;0.4;;
SRE;17.07.1902 00:00;0.5;;
SRE;18.07.1902 00:00;0;;
SRE;19.07.1902 00:00;2;;
SRE;20.07.1902 00:00;0;;
SRE;21.07.1902 00:00;0.9;;
SRE;22.07.1902 00:00;0;;
SRE;23.07.1902 00:00;0;;
SRE;24.07.1902 00:00;10.8;;
SRE;25.07.1902 00:00;0;;
SRE;26.07.1902 00:00;0;;
SRE;27.07.1902 00:00;6.6;;
SRE;28.07.1902 00:00;0;;
SRE;29.07.1902 00:00;0;;
SRE;30.07.1902 00:00;0;;
SRE;31.07.1902 00:00;12.6;;
SRE;01.08.1902 00:00;9.8;;
SRE;02.08.1902 00:00;11.4;;
SRE;03.08.1902 00:00;0;;
SRE;04.08.1902 00:00;0;;
SRE;05.08.1902 00:00;0;;
SRE;06.08.1902 00:00;0;;
SRE;07.08.1902 00:00;0;;
SRE;08.08.1902 00:00;6;;
SRE;09.08.1902 00:00;0;;
SRE;10.08.1902 00:00;0;;
SRE;11.08.1902 00:00;0;;
SRE;12.08.1902 00:00;0;;
SRE;13.08.1902 00:00;0;;
SRE;14.08.1902 00:00;0;;
SRE;15.08.1902 00:00;0;;
SRE;16.08.1902 00:00;4;;
SRE;17.08.1902 00:00;13;;
SRE;18.08.1902 00:00;0;;
SRE;19.08.1902 00:00;0.6;;
SRE;20.08.1902 00:00;3.2;;
SRE;21.08.1902 00:00;0;;
SRE;22.08.1902 00:00;0;;
SRE;23.08.1902 00:00;0;;
SRE;24.08.1902 00:00;0;;
